"fhudcode","fhudname","phic_name","regname","provcode","provname","citycode","cityname","facility_type_code","pan"
"DOH000000000000091","MAKILALA RURAL HEALTH UNIT","RHU -MAKILALA","Region 12","1247","COTABATO","124707","MAKILALA","RHU","P12025517"
"DOH000000000000092","CANDABA RURAL HEALTH UNIT I","CANDABA RURAL HEALTH UNIT III","Region 3","0354","PAMPANGA","035405","CANDABA","RHU","P03027872"
"DOH000000000000094","HILONGOS RURAL HEALTH UNIT I","HILONGOS RURAL HEALTH UNIT-I ","Region 8","0837","LEYTE","083719","HILONGOS","RHU","P08025098"
"DOH000000000000095","QUEZON RURAL HEALTH UNIT","QUEZON RURAL HEALTH UNIT","Region 2","0231","ISABELA","023122","QUEZON","RHU","P02024293"
"DOH000000000000096","LEYTE RURAL HEALTH UNIT AND FAMILY PLANNING CENTER","LEYTE RURAL HEALTH UNIT MATERNITY AND CHILD HEALTH CENTER","Region 8","0837","LEYTE","083729","LEYTE","RHU","P08025090"
"DOH000000000000100","HAMTIC RURAL HEALTH UNIT","HAMTIC MUNICIPAL HEALTH OFFICE","Region 6","0606","ANTIQUE","060608","HAMTIC","RHU","P06024713"
"DOH000000000000101","ROXAS RURAL HEALTH UNIT","ROXAS RURAL HEALTH UNIT","Region 4B","1752","ORIENTAL MINDORO","175212","ROXAS","RHU","P42026065"
"DOH000000000000105","DIFFUN MUNICIPAL HEALTH OFFICE","DIFFUN MUNICIPAL HEALTH OFFICE AND REPRODUCTIVE HEALTH CLINIC","Region 2","0257","QUIRINO","025703","DIFFUN","RHU","P02024284"
"DOH000000000000107","PONTEVEDRA RURAL HEALTH UNIT","PONTEVEDRA RURAL HEALTH UNIT","Region 6","0619","CAPIZ","061912","PONTEVEDRA","RHU","P06024821"
"DOH000000000000109","IBAJAY RURAL HEALTH UNIT I","IBAJAY RURAL HEALTH UNIT I","Region 6","0604","AKLAN","060406","IBAJAY","RHU","P06024699"
"DOH000000000000110","KATIPUNAN RURAL HEALTH UNIT AND BIRTHING CLINIC",,"Region 9","0972","ZAMBOANGA DEL NORTE","097203","KATIPUNAN","RHU",
"DOH000000000000113","TALON-TALON MAIN HEALTH CENTER","CITY GOV'T OF ZAMBOANGA/CHO-TALON-TALON HEALTH CENTER ","Region 9","0973","ZAMBOANGA DEL SUR","097332","ZAMBOANGA CITY","RHU","P09025261"
"DOH000000000000115","CADIZ CITY HEALTH OFFICE AND EMERGENCY CLINIC","CADIZ CHO ","Region 6","0645","NEGROS OCCIDENTAL","064504","CADIZ CITY","CHO","P06024814"
"DOH000000000000116","BATAC CITY HEALTH OFFICE","BATAC CITY HEALTH OFFICE","Region 1","0128","ILOCOS NORTE","012805","BATAC","RHU","P01024075"
"DOH000000000000117","MALINAO RURAL HEALTH UNIT",,"Region 5","0505","ALBAY","050510","MALINAO","RHU","P05024544"
"DOH000000000000118","BUADIPOSO BUNTONG RURAL HEALTH UNIT","BUADIPUSO BUNTUNG RHU","ARMM","1536","LANAO DEL SUR","153633","BUADIPOSO-BUNTONG","RHU","P15025810"
"DOH000000000000119","CLAVERIA RURAL HEALTH UNIT","RURAL HEALTH UNIT OF CLAVERIA","Region 10","1043","MISAMIS ORIENTAL","104306","CLAVERIA","RHU","P10025417"
"DOH000000000000121","TABUK RURAL HEALTH UNIT II","TABUK II RURAL HEALTH UNIT - PCB1","CAR","1432","KALINGA","143213","TABUK (Capital)","RHU","P13025636"
"DOH000000000000122","SAN MATEO RURAL HEALTH UNIT","RURAL HEALTH UNIT- SAN MATEO, ISABELA","Region 2","0231","ISABELA","023132","SAN MATEO","RHU","P02027206"
"DOH000000000000126","SAN PASCUAL RURAL HEALTH UNIT","SAN PASCUAL RURAL HEALTH UNIT","Region 4A","0410","BATANGAS","041026","SAN PASCUAL","RHU","P42026032"
"DOH000000000000127","BRAULIO E. DUJALI MUNICIPAL HEALTH CENTER","RHU - BRAULIO E. DUJALI","Region 11","1123","DAVAO DEL NORTE","112323","BRAULIO E. DUJALI","RHU","P11025465"
"DOH000000000000128","MACABEBE RURAL HEALTH UNIT II","SAN RAFAEL RHU II MACABEBE","Region 3","0354","PAMPANGA","035410","MACABEBE","RHU","P03024444"
"DOH000000000000130","SAN RICARDO RURAL HEALTH UNIT","SAN RICARDO RHU ","Region 8","0864","SOUTHERN LEYTE","086415","SAN RICARDO","RHU","P08025139"
"DOH000000000000131","MAHAPLAG RURAL HEALTH UNIT","MAHAPLAG MHO","Region 8","0837","LEYTE","083731","MAHAPLAG","RHU","P08025088"
"DOH000000000000133","LIMASAWA RURAL HEALTH UNIT","LIMASAWA RHU & FAMILY PLANNING CENTER","Region 8","0864","SOUTHERN LEYTE","086419","LIMASAWA","RHU","P08025144"
"DOH000000000000137","RAMON RURAL HEALTH UNIT","RAMON RURAL HEALTH UNIT BIRTHING CENTER","Region 2","0231","ISABELA","023124","RAMON","RHU","P02024260"
"DOH000000000000139","LIBJO RURAL HEALTH AND FAMILY PLANNING CENTER","LIBJO RURAL HEALTH UNIT AND FAMILY PLANNING CENTER","CARAGA","1685","DINAGAT ISLANDS","168504","LIBJO (ALBOR)","RHU","P14025713"
"DOH000000000000141","ALEGRIA RURAL HEALTH UNIT",,"CARAGA","1667","SURIGAO DEL NORTE","166701","ALEGRIA","RHU",
"DOH000000000000142","PARACELIS MUNICIPAL HEALTH OFFICE","PARACELIS RURAL HEALTH UNIT - PCB1","CAR","1444","MOUNTAIN PROVINCE","144406","PARACELIS","RHU","P13025645"
"DOH000000000000144","NEW WASHINGTON RURAL HEALTH UNIT","NEW WASHINGTON MUNICIPAL HEALTH OFFICE ","Region 6","0604","AKLAN","060415","NEW WASHINGTON","RHU","P06024688"
"DOH000000000000147","VILLAVERDE RURAL HEALTH UNIT","VILLAVERDE RURAL HEALTH UNIT","Region 2","0250","NUEVA VIZCAYA","025014","VILLAVERDE","RHU","P02026791"
"DOH000000000000148","TUGUEGARAO CITY HEALTH OFFICE","TUGUEGARAO CITY URBAN HEALTH CENTER AND BIRTHING HOME","Region 2","0215","CAGAYAN","021529","TUGUEGARAO CITY(Capital)","RHU","P02024242"
"DOH000000000000151","CITY OF SAN FERNANDO (CAPITAL) RURAL HEALTH UNIT III","SAN FERNANDO RHU III","Region 3","0354","PAMPANGA","035416","CITY OF SAN FERNANDO (Capital)","RHU","P03024432"
"DOH000000000000152","SANTA CRUZ RURAL HEALTH UNIT II","STA. CRUZ RHU II","Region 3","0371","ZAMBALES","037113","SANTA CRUZ","RHU","P03030196"
"DOH000000000000153","SAN JOSE RURAL HEALTH UNIT","SAN JOSE RURAL HEALTH UNIT AND FAMILY PLANNING CLINIC","Region 4B","1759","ROMBLON","175914","SAN JOSE","RHU","P42026108"
"DOH000000000000155","SOCORRO RURAL HEALTH UNIT","SOCORRO RURAL HEALTH UNIT","Region 4B","1752","ORIENTAL MINDORO","175214","SOCORRO","RHU","P42026110"
"DOH000000000000158","LIAN RURAL HEALTH UNIT","MUNICIPAL HEALTH CENTER  OF LIAN","Region 4A","0410","BATANGAS","041013","LIAN","RHU","P42026021"
"DOH000000000000160","PAG-ASA RURAL HEALTH CENTER","PAG-ASA HEALTH CENTER","Region 3","0371","ZAMBALES","037107","OLONGAPO CITY","RHU","P03028090"
"DOH000000000000162","SANTOL MUNICIPAL HEALTH OFFICE","SANTOL MUNICIPAL HEALTH OFFICE ","Region 1","0133","LA UNION","013318","SANTOL","RHU","P01024134"
"DOH000000000000164","WEST BAJAC-BAJAC RURAL HEALTH UNIT","WEST BAJAC BAJAC HEALTH CENTER","Region 3","0371","ZAMBALES","037107","OLONGAPO CITY","RHU","P03024503"
"DOH000000000000165","JASAAN RURAL HEALTH UNIT","JASAAN RURAL HEALTH UNIT","Region 10","1043","MISAMIS ORIENTAL","104311","JASAAN","RHU","P10025413"
"DOH000000000000166","IVISAN RURAL HEALTH UNIT","IVISAN RURAL HEALTH UNIT ","Region 6","0619","CAPIZ","061905","IVISAN","RHU","P06024729"
"DOH000000000000167","SAN VICENTE RURAL HEALTH UNIT","SAN VICENTE RURAL HEALTH UNIT","Region 4B","1753","PALAWAN","175319","SAN VICENTE","RHU","P42026109"
"DOH000000000000169","SAN MIGUEL MUNICIPAL HEALTH OFFICE AND REPRODUCTIVE HEALTH CENTER","MUNICIPAL HEALTH OFFICE & REPRODUCTIVE HEALTH CENTER","CARAGA","1668","SURIGAO DEL SUR","166816","SAN MIGUEL","RHU","P14025760"
"DOH000000000000171","LUGAIT MUNICIPAL HEALTH OFFICE","LUGAIT MUNICIPAL HEALTH OFFICE","Region 10","1043","MISAMIS ORIENTAL","104316","LUGAIT","RHU","P10025408"
"DOH000000000000173","SAN NICOLAS MUNICIPAL HEALTH OFFICE","SAN NICOLAS RHU","Region 1","0128","ILOCOS NORTE","012820","SAN NICOLAS","RHU","P01024199"
"DOH000000000000174","BESAO MUNICIPAL HEALTH OFFICE","BESAO RURAL HEALTH UNIT - PCB1","CAR","1444","MOUNTAIN PROVINCE","144403","BESAO","RHU","P13025642"
"DOH000000000000175","BORONGAN CITY HEALTH OFFICE I",,"Region 8","0826","EASTERN SAMAR","082604","BORONGAN (Capital)","CHO","P08025055"
"DOH000000000000177","SANTOLAN SUPER HEALTH CENTER","CITY GOVERNMENT OF PASIG - SANTOLAN SUPER HEALTH CENTER","NCR","1374","NCR   SECOND DISTRICT","137403","CITY OF PASIG","RHU","P92026362"
"DOH000000000000178","DELA PAZ HEALTH CENTER","CITY GOVERNMENT OF PASIG - DELA PAZ HEALTH CENTER","NCR","1374","NCR   SECOND DISTRICT","137403","CITY OF PASIG","RHU","P92026388"
"DOH000000000000179","PANTUKAN MUNICIPAL HEALTH OFFICE",,"Region 11","1182","COMPOSTELA VALLEY","118211","PANTUKAN","RHU","P11026910"
"DOH000000000000180","NABUNTURAN RURAL HEALTH UNIT","RHU NABUNTURAN","Region 11","1182","COMPOSTELA VALLEY","118209","NABUNTURAN (Capital)","RHU","P11025489"
"DOH000000000000185","JOSE ABAD SANTOS RURAL HEALTH UNIT","RURAL HEALTH UNIT, JOSE ABAD SANTOS","Region 11","1186","DAVAO OCCIDENTAL","118602","JOSE ABAD SANTOS (TRINIDAD)","RHU","P11025476"
"DOH000000000000187","RODRIGUEZ RURAL HEALTH UNIT I",,"Region 4A","0458","RIZAL","045808","RODRIGUEZ (MONTALBAN)","RHU","P93028179"
"DOH000000000000188","BALETE RURAL HEALTH UNIT",,"Region 4A","0410","BATANGAS","041004","BALETE","RHU","P42026102"
"DOH000000000000190","SIGMA RURAL HEALTH UNIT","SIGMA RHU","Region 6","0619","CAPIZ","061916","SIGMA","RHU","P06024721"
"DOH000000000000191","MAGALANG RURAL HEALTH UNIT I","MAGALANG RURAL HEALTH UNIT I","Region 3","0354","PAMPANGA","035411","MAGALANG","RHU","P03024445"
"DOH000000000000195","ABORLAN RURAL HEALTH UNIT","ABORLAN MUNICIPAL HEALTH OFFICE","Region 4B","1753","PALAWAN","175301","ABORLAN","RHU","P42026067"
"DOH000000000000196","BARANGKA ILAYA HEALTH CENTER","CITY GOVERNMENT OF MANDALUYONG - BARANGKA ILAYA HEALTH CENTER","NCR","1374","NCR   SECOND DISTRICT","137401","CITY OF MANDALUYONG","RHU","P91026257"
"DOH000000000000200","PEOPLES HEALTH CENTER AND LYING IN CLINIC","CITY GOVERNMENT OF MANDALUYONG - PEOPLE'S HEALTH CENTER","NCR","1374","NCR   SECOND DISTRICT","137401","CITY OF MANDALUYONG","RHU","P91026249"
"DOH000000000000202","TAÑONG HEALTH CENTER","CITY GOVERNMENT OF MARIKINA - TA?ONG HEALTH CENTER ","NCR","1374","NCR   SECOND DISTRICT","137402","CITY OF MARIKINA","RHU","P93026530"
"DOH000000000000204","KAPUTIAN DISTRICT HEALTH OFFICE","KAPUTIAN RURAL HEALTH UNIT","Region 11","1123","DAVAO DEL NORTE","112317","ISLAND GARDEN CITY OF SAMAL","RHU","P11025462"
"DOH000000000000206","MABINI RURAL HEALTH UNIT AND BIRTHING CENTER","RURAL HEALTH UNIT OF MABINI","Region 7","0712","BOHOL","071231","MABINI","RHU","P07024881"
"DOH000000000000207","DEL PILAR BARANGAY HEALTH STATION",,"Region 11","1125","DAVAO ORIENTAL","112508","MANAY","BHS",
"DOH000000000000209","OMPAO BARANGAY HEALTH STATION",,"Region 11","1125","DAVAO ORIENTAL","112511","TARRAGONA","BHS",
"DOH000000000000210","NAPAOD BARANGAY HEALTH STATION",,"Region 5","0516","CAMARINES NORTE","051606","LABO","BHS",
"DOH000000000000211","BALANGA RURAL HEALTH UNIT II","BALANGA RURAL HEALTH UNIT II","Region 3","0308","BATAAN","030803","CITY OF BALANGA (Capital)","RHU","P03024332"
"DOH000000000000212","BATO RURAL HEALTH UNIT I","BATO MUNICIPAL HEALTH OFFICE","Region 8","0837","LEYTE","083707","BATO","RHU","P08025107"
"DOH000000000000215","SAN FRANCISCO RURAL HEALTH UNIT","SAN FRANCISCO RURAL HEALTH UNIT","Region 8","0864","SOUTHERN LEYTE","086413","SAN FRANCISCO","RHU","P08025177"
"DOH000000000000216","ROSARIO RURAL HEALTH UNIT","ROSARIO RHU ","Region 8","0848","NORTHERN SAMAR","084816","ROSARIO","RHU","P08025119"
"DOH000000000000219","TORIBIA BADILLA-EVASCO MEMORIAL HEALTH CENTER","TORIBIA BADILLA-EVASCO MEMORIAL HEALTH CENTER","Region 7","0712","BOHOL","071232","MARIBOJOC","RHU","P07027806"
"DOH000000000000808","TAMPARAN RURAL HEALTH UNIT","TAMPARAN RHU ","ARMM","1536","LANAO DEL SUR","153626","TAMPARAN","RHU","P15025840"
"DOH000000000000810","ALFONSO CASTAÑEDA RURAL HEALTH UNIT",,"Region 2","0250","NUEVA VIZCAYA","025015","ALFONSO CASTAÃ‚ÂEDA","RHU",
"DOH000000000000815","ANGELES RURAL HEALTH UNIT IV",,"Region 3","0354","PAMPANGA","035401","ANGELES CITY","RHU","P03024421"
"DOH000000000000816","ANTIPOLO RURAL HEALTH UNIT II",,"Region 4A","0458","RIZAL","045802","CITY OF ANTIPOLO","RHU",
"DOH000000000000824","BALETE RURAL HEALTH UNIT","PACITA CALIZO-CORTES HEALTH CENTER","Region 6","0604","AKLAN","060402","BALETE","RHU","P06024702"
"DOH000000000000830","CAINTA RURAL HEALTH UNIT II(GRUAR)",,"Region 4A","0458","RIZAL","045805","CAINTA","RHU","P93026479"
"DOH000000000000833","CALACA RURAL HEALTH UNIT","CALACA MUNICIPAL HEALTH OFFICE ","Region 4A","0410","BATANGAS","041007","CALACA","RHU","P42026014"
"DOH000000000000834","CALAMBA CITY HEALTH OFFICE","CALAMBA CITY HEALTH OFFICE","Region 4A","0434","LAGUNA","043405","CITY OF CALAMBA","CHO","P41025907"
"DOH000000000000835","CALAPAN CITY HEALTH - NORTH SECTION","CITY HEALTH & SANITATION DEPARTMENT - NORTH SUB - OFFICE ","Region 4B","1752","ORIENTAL MINDORO","175205","CITY OF CALAPAN (Capital)","RHU","P42026057"
"DOH000000000000837","CANDELARIA RURAL HEALTH UNIT","CANDELARIA RURAL HEALTH UNIT","Region 4A","0456","QUEZON","045608","CANDELARIA","RHU","P41027172"
"DOH000000000000838","CANUMAY WEST HEALTH CENTER","CANUMAY WEST HEALTH CENTER / CITY GOVERNMENT OF VALENZUELA","NCR","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026184"
"DOH000000000000839","CONCEPCION HEALTH CENTER","CITY GOVERNMENT OF MALABON/ CONCEPCION HEALTH CENTER","NCR","1375","NCR   THIRD DISTRICT","137502","CITY OF MALABON","RHU","P91026145"
"DOH000000000000841","DALANDANAN HEALTH CENTER","DALANDANAN HEALTH CENTER / CITY GOVERNMENT OF VALENZUELA","NCR","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026182"
"DOH000000000000844","DIMASALANG HEALTH CENTER",,"NCR","1339","MANILA, NCR,  FIRST DISTRICT","133905","SANTA CRUZ","RHU","P91026233"
"DOH000000000000845","DIMIAO RURAL HEALTH UNIT","RHU DIMIAO BIRTHING UNIT","Region 7","0712","BOHOL","071220","DIMIAO","RHU","P07024893"
"DOH000000000000847","POTRERO HEALTH CENTER","CITY GOVERNMENT OF MALABON/ POTRERO HEALTH CENTER","NCR","1375","NCR   THIRD DISTRICT","137502","CITY OF MALABON","RHU","P91026136"
"DOH000000000000850","ESPERANZA HEALTH CENTER",,"NCR","1339","MANILA, NCR,  FIRST DISTRICT","133906","SAMPALOC","RHU","P91027378"
"DOH000000000000854","JALA-JALA RURAL HEALTH UNIT","JALA JALA RURAL HEALTH UNIT","Region 4A","0458","RIZAL","045807","JALA-JALA","RHU","P93026476"
"DOH000000000000855","JOSE PANGANIBAN RURAL HEALTH UNIT I","RURAL HEALTH UNIT - I JOSE PANGANIBAN","Region 5","0516","CAMARINES NORTE","051605","JOSE PANGANIBAN","RHU","P05024569"
"DOH000000000000857","KARUHATAN HEALTH CENTER","KARUHATAN HEALTH CENTER/ CITY GOVERNMENT OF VALENZUELA","NCR","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026178"
"DOH000000000000861","MABOLO HEALTH CENTER","MABOLO HEALTH CENTER/ CITY GOVERNMENT OF VALENZUELA","NCR","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026175"
"DOH000000000000862","MAGSINGAL MUNICIPAL HEALTH OFFICE",,"Region 1","0129","ILOCOS SUR","012912","MAGSINGAL","RHU","P01024103"
"DOH000000000000863","MAKATO RURAL HEALTH UNIT","DR. JOSE B. LEGASPI MEMORIAL HEALTH CENTER/ MAKATO RURAL HEALTH UNIT","Region 6","0604","AKLAN","060411","MAKATO","RHU","P06024692"
"DOH000000000000866","MANOTOC HEALTH CENTER","MANOTOC HEALTH CENTER / CITY GOVERNMENT OF VALENZUELA","NCR","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026309"
"DOH000000000000868","MARAWI CITY RURAL HEALTH UNIT","MARAWI CITY HEALTH OFFICE","ARMM","1536","LANAO DEL SUR","153617","MARAWI CITY","RHU","P15026892"
"DOH000000000000879","PARADA HEALTH CENTER","PARADA HEALTH CENTER/ CITY GOVERNMENT OF VALENZUELA","NCR","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026166"
"DOH000000000000882","PORAC RURAL HEALTH UNIT II","PORAC RURAL HEALTH UNIT II","Region 3","0354","PAMPANGA","035415","PORAC","RHU","P03024454"
"DOH000000000000883","PROGRESO STATION HEALTH CENTER",,"NCR","1374","NCR   SECOND DISTRICT","137405","SAN JUAN","BHS",
"DOH000000000000885","PUNTURIN HEALTH CENTER","PUNTURIN HEALTH CENTER/ CITY GOVERNMENT OF VALENZUELA","NCR","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026161"
"DOH000000000000888","ROSARIO SUPER HEALTH CENTER","CITY GOVERNMENT OF PASIG - ROSARIO HEALTH CENTER","NCR","1374","NCR   SECOND DISTRICT","137403","CITY OF PASIG","RHU","P92026367"
"DOH000000000000889","ROSARIO RURAL HEALTH UNIT I","ROSARIO RURAL HEALTH UNIT","Region 4A","0410","BATANGAS","041021","ROSARIO","RHU","P42026026"
"DOH000000000000894","SAN MIGUEL HEIGHTS HEALTH CENTER","SAN MIGUEL HEIGHTS HEALTH CENTER/ CITY GOVERNMENT OF VALENZUELA","NCR","1375","NCR   THIRD DISTRICT","137504","CITY OF VALENZUELA","RHU","P91026158"
