"generic_code","generic_description"
"AMIN3","AMINO ACID SOLUTIONS FOR INFANTS"
"AMIN4","AMINO ACID SOLUTIONS FOR RENAL CONDITIONS"
"AMIN5","AMINO ACIDS"
"AMIN6","AMINO ACIDS + GLUCOSE"
"AMIN7","AMINO ACIDS + GLUCOSE + ELECTROLYTES"
"AMIN8","AMINO ACIDS + MULTIVITAMINS WITH DEXTROSE"
"AMIN9","AMINO ACIDS + SORBITOL"
"AMINO","AMINOPHYLLINE"
"AMIO1","AMIODARONE HYDROCHLORIDE"
"AMIOD","AMIODARONE"
"AMISL","AMISULPRIDE"
"AMISR","AMINO ACIDS 9.12% IN 5% SORBITOL"
"AMITR","AMITRIPTYLINE HYDROCHLORIDE"
"AMLO2","AMLODIPINE AS BESILATE + ATORVASTATIN CALCIUM"
"AMLO3","AMLODIPINE"
"AMLO4","AMLODIPINE (AS BESILATE) + LOSARTAN POTASSIUM"
"AMLO5","AMLODIPINE (AS BESILATE) + VALSARTAN"
"AMLOD","AMLODIPINE"
"AMMON","AMMONIUM CHLORIDE + GUAIFENESIN + SODIUM CITRATE"
"AMOHY","AMOROLFINE (AS HYDROCHLORIDE)"
"AMOX1","AMBROXOL HYDROCHLORIDE"
"AMOX2","AMBROXOL HYDROCHLORIDE + CETIRIZINE HYDROCHLORIDE"
"AMOX3","AMOXICILLIN (AS TRIHYDRATE)"
"AMOX4","AMOXICILLIN (AS SODIUM)"
"AMOX5","AMOXICILLIN"
"AMOXS","AMBROXOL (AS HYDROCHLORIDE)"
"AMPH1","AMPHOTERICIN B (LIPID COMPLEX)"
"AMPH2","AMPHOTERICIN B (NON-LIPID COMPLEX)"
"AMPH3","AMPHOTERICIN B"
"AMPI1","AMPICILLIN"
"AMPI2","AMPICILLIN + SULBACTAM"
"AMPI3","AMPICILLIN (A SODIUM)"
"AMPI4","AMPICILLIN (AS SODIUM SALT)"
"AMPI5","AMPICILLIN (AS SODIUM) + SULBACTAM (AS SODIUM)"
"AMPI6","AMPICILLIN (AS TRIHYDRATE)"
"AMPU1","AMPULICILLIN + SULBACTAM"
"AMPUL","AMPULICILLIN"
"ANAST","ANASTRAZOLE"
"ANITG","ANTITHYMOCYTE IMMUNOGLOBULIN ATG (RABBIT)"
"ANTAZ","ANTAZOLINE HYDROCHLORIDE + TETRYZOLINE HYDROCHLORIDE"
"ANTH1","ANTHRAQUINONE GLYCOSIDES + SALICYLIC ACID"
"ANTHR","ANTHRAQUINONE GLUCOSIDES + SALICYLIC ACID"
"ANTID","ANTI-D IMMUNOGLOBULIN (HUMAN ANTI-D IMMUNOGLOBULIN)"
"ANTIL","ANTILYMPHOCYTE IMMUNOGLOBULIN (ALG) (EQUINE)"
"ANTIR","ANTI-RABIES SERUM (EQUINE)"
"ANTIT","ANTI-TETANUS SERUM (ATS) (EQUINE)"
"APIXA","APIXABAN"
"ARTEM","ARTEMETHER + LUMEFANTRIN"
"ASCO1","ASCORBIC ACID (VITAMIN C)"
"ASCO2","ASCORBIC ACID + B-COMPLEX"
"ASCO3","ASCORBIC ACID + CALCIUM CARBONATE + CALCIUM LACTATE GLUCONATE"
"ASCO4","ASCORBIC ACID + CITRUS BIOFLAVONOIDS + ROSE HIPS"
"ASCO5","ASCORBIC ACID + ZINC"
"ASCO6","ASCORBIC ACID (AS SODIUM ASCORBATE)"
"ASCO7","ASCORBIC ACID (AS SODIUM ASCORBATE) + ZINC (AS ZINC ASCORBATE)"
"ASCO8","ASCORBIC ACID (VITAMIN C) + ZINC ASCORBATE"
"ASCO9","ASCORBIC ACID (VITAMIN C) + PYRIDOXINE HYDROCHLORIDE (VITAMIN B6) + FOLIC ACID (VITATAMIN B9) + ZINC"
"ASCOC","ASCORBIC ACID (VITAMIN C) + CALCIUM CARBONATE"
"ASENA","ASENAPINE (AS MALEATE)"
"ASP01","ASPARAGINASE"
"ASPIR","ASPIRIN"
"ASTRE","AZTREONAM"
"ATEN1","ATENOLOL"
"ATEN2","ATENOLOL + CHLORTHALIDONE"
"ATGEQ","ANTITHYMOCYTE IMMUNOGLOBULIN (ATG) (EQUINE)"
"ATOR1","ATORVASTATIN"
"ATOR2","ATORVASTATIN (AS CALCIUM TRIHYDRATE)"
"ATORV","ATORVASTATIN CALCIUM"
"ATOVA","ATOVAQUONE + PROGUANIL HYDROCHLORIDE"
"ATRA1","ATRACURIUM"
"ATRA2","ATRACURIUM BESYLATE"
"ATRO2","ATROPINE SULFATE"
"ATROE","ATROPINE"
"ATROP","ATROPINE"
"AZATH","AZATHIOPRINE"
"AZELA","AZELASTINE HYDROCHLORIDE"
"AZIT1","AZITHROMYCIN (AS DIHYDRATE)"
"AZIT2","AZITHROMYCIN (AS BASE)"
"AZITH","AZITHROMYCIN"
"BACAM","BACAMPICILLIN HYDROCHLORIDE"
"BACI1","BACITRACIN + POLYMYXIN B SULFATE + NEOMYCIN BASE"
"BACI2","BACITRACIN + NEOMYCIN + POLYMYXIN B"
"BACI3","BACITRACIN ZINC + NEOMYCIN SULFATE + POLYMYXIN B SULFATE"
"BACII","BACILLUS CLAUSII"
"BACLO","BACLOFEN"
"BACLY","BACTERIAL LYSATE"
"BAL00","BALANCE MULTIPLE REPLACEMENT SOLUTION"
"BAL01","BALANCED MULTIPLE REPLACEMENT SOLUTION WITH PH 7.4"
"BALAN","BALANCED MULTIPLE REPLACEMENT SOLUTION WITH PH 7.4"
"BALSS","BSS (BALANCED SALT SOLUTION)"
"BAMBU","BAMBUTEROL HYDROCHORIDE"
"BAMMD","BALANCED MULTIPLE MAINTENACE SOLUTION WITH 5% DEXTROSE"
"BAMMS","BALANCED MULTIPLE MAINTENACE SOLUTION"
"BAMR5","BALANCED MULTIPLE REPLACEMENT SOLUTION WITH 5% DEXTROSE"
"BAMRS","BALANCED MULTIPLE REPLACEMENT SOLUTION"
"BARIU","BARIUM SULFATE"
"BASIL","BASILIXIMAB"
"BCGVA","BCG VACCINE"
"BCXLH","B COMPLEX + IRON WITH LYSINE HYDROCHLORIDE"
"BEAC1","BETAMETHASONE CREAM"
"BEAC2","BETAMETHASONE OINTMENT"
"BECL1","BECLOMETASONE DIPRIONAE + FORMOTEROL FUMARATE DIHYDRATE"
"BECLD","BECLOMETHASONE (AS DIPROPIONATE)"
"BECLO","BECLOMETASONE"
"BEN10","BENZOYL PEROXIDE"
"BEN11","BENZOIC ACID/SALICYLIC ACID / RESORCINOL"
"BENEH","BENEDIPINE HYDROCHLORIDE"
"BENHC","BENAZEPRIL HYDROCHLORIDE"
"BENZ1","BENZALKONIUM CHLORIDE + CHLOROBUTANOL + VITAMIN E"
"BENZ2","BENZYL BENZOATE + PRESIPITATED SULFUR + ZINC OXIDE + MENTHOL"
"BENZ3","BENZATHINE BENZYLPENICILLIN"
"BENZ4","BENZYLPENICILLIN"
"BENZ5","BENZOIC ACID + CLIOQUINOL + SULFUR + SALICYLIC ACID + MENTHOL + CETYL ALCOHOL"
"BENZ6","BENZYLPENICILLIN POTASSIUM"
"BENZ7","BENZOIC ACID + SALICYLIC ACID"
"BENZ8","BENZYLPENICILLIN SODIUM"
"BENZ9","BENZOIC ACID/SALICYLIC ACID/PRECIPITATED SULFUR"
"BENZC","BENZYDAMINE HYDROCHLORIDE + CETYLPYRIDIUM CHLORIDE"
"BENZH","BENZYDAMINE HYDROCHLORIDE"
"BENZL","BENZALKONIUM CHLORIDE"
"BENZO","BENZOCAINE + BORIC ACID + EUCAKYPTUS"
"BENZS","BENZYLPENICILLIN (AS SODIUM)"
"BENZY","BENZYL BENZOATE"
"BERAC","BERACTANT"
"BERSM","BERAPROST SODIUM"
"BET01","BETAMETHASONE (AS DIPROPIONATE) + CLIOQUINOL"
"BET02","BETAMETHASONE (AS DIPROPIONATE) + SALICYLIC ACID"
"BET03","BETAMETHASONE + CHLORPHENAMINE MALEATE"
"BET04","BETAMETHASONE + DEXCHLORPHENAMINE MALEATE"
"BET05","BETAMETHASONE (AS DIPROPIONATE)"
"BET06","BETAMETHASONE (AS DIPROPIONATE) + GENTAMICIN (AS SULFATE)"
"BET07","BETAMETHASONE (AS VALERATE)"
"BET08","BETAMETHASONE VALERATE GENTAMICIN SULFATE"
"BET09","BETAMETHASONE (AS DIPROPIONATE) + BETAMETHASONE (AS SODIUM PHOSPHATE)"
"BET10","BETAMETHASONE (AS SODIUM PHOSPHATE) + GENTAMICIN (AS SULFATE)"
"BET11","BETAMETHASONE (AS VALERATE) + NEOMYCIN (AS SULFATE)"
"BET12","BETAMETHASONE (AS VALERATE) TOLNAFTATE + CLIOQUINOL + GENTAMICIN (AS SULFATE)"
"BET13","BETAMETHASONE + GENTAMICIN"
"BET14","BETAMETHASONE + GENTAMICIN + TOLNAFTATE + CLIOQUINOL"
"BET15","BETAMETHASONE (AS DIPROPIONATE) + CLOTRIMAZOLE + GENTAMICIN (AS SULFATE)"
"BET16","BETAMETHASONE VALERATE + GENTAMICIN SULFATE + TOLNAFTATE + CLIOQUINOL"
"BETAH","BETAHISTINE"
"BETAM","BETAMETHASONE"
"BETAX","BETAXOLOL"
"BETDH","BETAHISTINE DIHYDROCHLORIDE"
"BETDM","BETAMETHASONE + DEXCHLORPHENIRAMINE MALEATE"
"BETH1","BETAMETHASONE (AS DIPROPIONATE) + GENTAMICIN (AS SULFATE) + CLOTRIMAZOLE"
"BETHA","BETHAMETASONE + GENTAMICIN (AS SULFATE) + TOLNAFTATE + IODOCHLORHYDROXYQUINE"
"BETMI","BETAHISTINE MESILATE"
"BETX1","BETAXOLOL (AS HYDROCHLORIDE)"
"BICAL","BICALUTAMIDE"
"BICHS","BICARBONATE HAEMODIALYSIS SOLUTION"
"BIFON","BIFONAZOLE"
"BIMAT","BIMATOPROST"
"BIPE1","BIPERIDEN HYDROCHLORIDE"
"BIPEL","BIPERIDEN LACTATE"
"BIPER","BIPERIDEN"
"BIPH1","BIPHASIC ISOPHANE HUMAN INSULIN 75/25 (RDNA ORIGIN)"
"BIPHA","BIPHASIC ISOPHANE HUMAN INSULIN 70/30 (RECOMBINANT DNA)"
"BISAC","BISACODYL"
"BISO1","BISOPROLOL FUMARATE"
"BISO2","BISOPROLOL FUMARATE + HYDROCHLOROTHIAZIDE"
"BISO3","BISOPROLOL HEMIFUMARATE + HYDROCHLOROTHIAZIDE"
"BISO4","BISOPROLOL HEMIFUMARATE"
"BISOP","BISOPROLOL"
"BLEO1","BLEOMYCIN (AS SULFATE)"
"BLEOM","BLEOMYCIN"
"BLUME","BLUMEA BALSAMIFERA (SAMBONG LEAF)"
"BMHI","BIPHASIC ISOPHANE HUMAN INSULIN 70/30 (RECOMBINANT DNA)"
"BMMSD","BALANCED MULTIPLE MAINTENACE SOLUTION W/ DEXTROSE"
"BMRSD","BALANCED MULTIPLE REPLACEMENT SOLUTION W/ DEXTROSE"
"BMRXX","BALANCED MULTIPLE REPLACEMENT"
"BMSDA","BALANCED MULTIPLE MAINTENANCE SOLUTION WITH 5% DEXTROSE FOR ADULT"
"BMSDP","BALANCED MULTIPLE MAINTENANCE SOLUTION WITH 5% DEXTROSE FOR PEDIA"
"BMULM","BALANCED MULTIPLE MAINTENACE"
"BORIC","BORIC ACID + BORAX"
"BORTE","BORTEZOMIB"
"BOSEN","BOSENTAN"
"BOVIN","BOVINE LUNG SURFACTANT"
"BRA01","TOBRAMYCIN"
"BRA02","TOBRAMYCIN"
"BRA03","TOBRAMYCIN + DEXAMETHASONE"
"BRA04","TOBRAMYCIN + DEXAMETHASONE"
"BREWE","BREWERS YEAST"
"BRIMO","BRIMONIDINE TARTRATE"
"BRINZ","BRINZOLAMIDE"
"BROM1","BROMHEXINE"
"BROM2","BROMHEXINE HYDROCHLORIDE + CHLORPHENAMINE MALEATE"
"BROM3","BROMHEXINE HYDROCHLORIDE"
"BROMA","BROMAZEPAM"
"BROMO","BROMOCRIPTINE"
"BROMP","BROMPHENIRAMINE MALEATE + PHENYLEPHRINE HYDROCHLORIDE + DEXTROMETHORPHAN HYDROBROMIDE"
"BUCL2","BUCLIZINE HYDROCHLORIDE + PYRIDOXINE HYDROCHLORIDE + IRON + THIAMINE MONONITRATE + CYANOCOBALAMIN"
"BUCLI","BUCLIZINE DIHYDROCHLORIDE"
"BUDE1","BUDESONIDE + FORMOTEROL"
"BUDE2","BUDESONIDE + FORMOTEROL FUMARATE DIHYDRATE"
"BUDES","BUDESONIDE"
"BUFLO","BUFLOMEDIL HYDROCHLORIDE"
"BUMET","BUMETANIDE"
"BUP8D","BUPIVACAINE HYDROCHLORIDE IN 8% DEXTROSE"
"BUPI2","BUPIVACAINE (AS HYDROCHLORIDE)"
"BUPI3","BUPIVACAINE HYDROCHLORIDE IN DEXTROSE"
"BUPIH","BUPIVACAINE HYDROCHLORIDE"
"BUPIV","BUPIVACAINE"
"BUSER","BUSERELIN"
"BUSUL","BUSULFAN"
"BUTA2","BUTAMIRATE CITRATE"
"BUTAM","BUTAMIRATE"
"BUTO1","BUTORPHANOL (AS TARTRATE)"
"BUTOR","BUTORPHANOL"
"BUTR1","BUTORPHANOL TARTATE"
"BVCNZ","BETACAROTENE + VITAMIN C + NATURAL VITAMIN E + ZINC"
"BZP01","BENZOYL PEROXIDE"
"CAB01","CALCIPOTRIOL + BETAMETHASONE"
"CABO1","CARBOCISTEINE / SODIUM CITRATE"
"CABO2","CARBOPLATIN"
"CACDL","CALCIUM + PHOSPHORUS + CHOLECALCIFEROL (VIT D3)"
"CADEO","CADE OIL + COAL TAR + ARACHIS OIL EXTRACT OF COAL TAR + TAR"
"CAL11","CALCIUM CARBONATE + MAGNESIUM HYDROXIDE + FAMOTIDINE"
"CAL12","CALCIUM LACTATE + CALCIUM CARBONATE + CALCIUM GLUCONATE"
"CALA1","CALAMINE, PLAIN"
"CALAM","CALAMINE + DIPHENHYDRAMINE HCI"
"CALAS","CALCIUM ASCORBATE"
"CALC1","CALCITRIOL"
"CALC2","CALCIUM"
"CALC3","CALCIUM CARBONATE"
"CALC4","CALCIUM CARBONATE + CHOLECALCIFEROL (VIT. D3)"
"CALC5","CALCIUM DIALYSATE, LOW"
"CALC6","CALCIUM FOLINATE (LEUCOVORIN CALCIUM)"
"CALC7","CALCIUM GLUCONATE"
"CALC8","CALCIUM LACTATE"
"CALC9","CALCIUM SALT"
"CALCC","CALCIUM (AS CARBONATE) + CALCITROL + ZINC (AS PICOLINATE)"
"CALCH","CALCIUM + CHOLECALDIFEROL"
"CALCI","CALCIFEROL"
"CALCM","CALCIUM CARBONATE + ASCORBIC ACID (VITAMIN C) + CHOLECALCIFEROL (VITAMIN D3) + PIRIDOXINE (VITAMIN B"
"CALCN","CALCITONIN"
"CALCT","CALCIPOTRIOL"
"CALCU","CALCIUM UNDECYLENATE"
"CALCZ","CALCITRIOL + CALCIUM CITRATE + MAGENSSIUM OXIDE + ZINC OXIDE"
"CALD3","CALCIUM + CHOLECALCIFEROL (VIT D3)"
"CALES","CALCIUM SENNOSIDES"
"CALSA","CALCIUM ASCORBATE + SODIUM ASCORBATE"
"CALT1","CALCIPOTRIOL (AS HYDRATE)"
"CALT2","CALCIPOTRIOL (AS HYDRATE) + BETAMETHASONE (AS DIPROPIONATE)"
"CAMP2","CAMPHOR + MENTHOL + METHYL SALICYLATE + DIPHENHYDRAMINE (AS HYDROCHLORIDE) + GLYCYRRHIZIC ACID + CHL"
"CAMPH","CAMPHOR + METHYL SALICYLATE + MENTHOL"
"CAN01","CANDESARTAN"
"CAND1","CANDESARTAN CILEXETIL + HYDROCHLOROTHIAZIDE"
"CANDE","CANDESARTAN CILEXETIL"
"CAPEC","CAPECITABINE"
"CAPTO","CAPTOPRIL"
"CARB1","CARBAMAZEPINE"
"CARB2","CARBAZOCHROME SODIUM SULFONATE"
"CARBA","CARBACHOL"
"CARBE","CARBENOXOLONE SODIUM"
"CARBI","CARBIMAZOLE"
"CARBO","CARBOCISTEINE"
"CARM1","CARBOMER + MANNITOL"
"CARME","CARBOMER"
"CARMU","CARMUSTINE"
"CARN1","CARNITINE OROTATE + CARNITINE HYDROCHLORIDE + HEPATIC (LIVER) EXTRACT ANTITOXIC FRACTION + + PYRIDO"
"CARN2","CARNITINE ORONATE + PYRIDOXINE HYDROCHLORIDE + CYANOCOBALAMIN + HEPATIC EXTRACT ANTITOXIC + FRACTION"
"CARNI","CARNITINE OROTATE + HEPATIC EXTRACT ANTITOXIC FRACTION + ADENINE HYDROCHLORIDE + PYRIDOXINE HYDROCHL"
"CARTE","CARTEOLOL HYDROCHLORIDE"
"CARV1","CARVEDILOL + HYDROCHLOROTHIAZIDE"
"CARVE","CARVEDILOL"
"CASPO","CASPOFUNGIN (AS ACETATE)"
"CASSI","CASSIA ANGUSTIFOLIA VAHL (SENNA LEAVES)"
"CASTO","CASTOR OIL"
"CEFA1","CEFACLOR (AS MONOHYDRATE)"
"CEFA2","CEFALEXIN (AS MONOHYDRATE)"
"CEFAC","CEFACLOR"
"CEFAD","CEFADROXIL"
"CEFAL","CEFALEXIN"
"CEFAZ","CEFAZOLIN"
"CEFD1","CEFADROXIL (AS MONOHYDRATE)"
"CEFDI","CEFDINIR"
"CEFEH","CEFEPIME (AS HYDROCHLORIDE)"
"CEFEP","CEFEPIME"
"CEFHY","CEFOTIAM (AS HYDROCHLORIDE)"
"CEFIX","CEFIXIME"
"CEFO1","CEFOTAXIME (AS SODIUM)"
"CEFOP","CEFOPERAZONE (AS SODIM) + SULBACTAM (AS SODIUM)"
"CEFOT","CEFOTAXIME"
"CEFOX","CEFOXITIN"
"CEFP1","CEFOPERAZONE + SULBACTAM SODIUM"
"CEFPE","CEFTAZIDIME (AS PENTAHYDRATE )"
"CEFPI","CEFPIROME"
"CEFPO","CEFPODOXIME (AS PROXETIL)"
"CEFR1","CEFRADINE (AS MONOHYDRATE)"
"CEFR2","CEFRADINE (AS SODIUM)"
"CEFRA","CEFRADINE"
"CEFSC","CEFTAZIDIME (AS PENTAHYDRATE) W/ SODIUM CARBONATE"
"CEFSD","CEFOXITIN (AS SODIUM) + DEXTROSE"
"CEFSO","CEFOXITIN (AS SODIUM)"
"CEFT1","CEFTRIAXONE (AS SODIUM)"
"CEFT2","CEFTRIAXONE (AS DISODIUM)"
"CEFTA","CEFTAZIDIME"
"CEFTI","CEFTIBUTEN"
"CEFTR","CEFTRIAXONE"
"CEFU1","CEFUROXIME (AS AXETIL)"
"CEFU2","CEFUROXIME (AS SODIUM)"
"CEFU3","CEFUROXIME (AS TRIHYDRATE)"
"CEFUR","CEFUROXIME"
"CEFX1","CEFIXIME (AS TRIHYDRATE)"
"CEFXS","CEFTIZOXIME SODIUM"
"CEFZS","CEFAZOLIN (AS SODIUM)"
"CELEC","CELECOXIB"
"CEPH1","CEPHRADINE (AS MONOHYDRATE)"
"CEPHR","CEPHRADINE"
"CEPRO","CEPROZIL (AS MONOHYDRATE)"
"CETI1","CETIRIZINE (AS DIHYDROCHLORIDE)"
"CETI2","CETIRIZINE DIHYDROCHLORIDE + PHENYLEPHRINE HYDROCHLORIDE"
"CETI3","CETIRIZINE HYDROCHLORIDE"
"CETI4","CETRIZINE (AS DIHYDROCHLORIDE)"
"CETIR","CETIRIZINE"
"CETRI","CETRIAXONE (AS SODIUM)"
"CETRO","CETRORELIX ACETATE"
"CHAMO","CHAMOMILE CONCENTRATE + CINEOL + SAGE OIL + CAMPHOR + MENTHOL"
"CHICK","RABIES CHICK EMBRYO CELL (PURIFIED INACTIVATED)"
"CHL01","CHLORPHENAMINE"
"CHL03","CHLORAMPHENICOL"
"CHL04","CHLORAMPHENICOL"
"CHL05","CHLORAMPHENICOL EAR DROPS"
"CHL10","CHLORAMPULHENICOL"
"CHL11","CHLORAMPHENICOL (AS SODIUM SUCCINATE)"
"CHL12","CHLORAMPHENICOL (AS PALMITATE)"
"CHL13","CHLORPHENAMINE MALEATE + POTASSIUM GUAIACOLSLFONATE"
"CHL14","CHLORPROMAZINE HYDROCHLORIDE"
"CHLDX","CHLORPHENAMINE + DEXAMETHASONE SODIUM"
"CHLMN","CHLORPHENAMINE MALEATE"
"CHLO1","CHLORAL HYDRATE"
"CHLO2","CHLORAMBUCIL"
"CHLO3","CHLORAMPHENICOL"
"CHLO4","CHLORAMPHENICOL + DEXAMETHASONE"
"CHLO5","CHLORHEXIDINE"
"CHLO6","CHLORMETHINE (MECHLORETHAMINE, NITROGEN MUSTARD)"
"CHLO7","CHLOROQUINE"
"CHLO8","CHLORPHENAMINE (CHLORPHENIRAMINE)"
"CHLO9","CHLORPHENIRAMINE"
"CHLOB","CHLORHEXIDINE HYDROCHLORIDE + BENZOCAINE"
