"commodity_code","comprogram_code","comtype_code","commodity_desc","uom_code","id","lot_no"
"001001001353","001","001001","Efavirenz600mg+Lamivudine300mg+Tenofovir Disoproxil300mg.","TAB49","001353","Y"
"001001001625","001","001001","TENOLAM 3TC+TDF","TAB49","001625","Y"
"001001001672","001","001001",,,"001672","Y"
"001001001674","001","001001",,,"001674","Y"
"001001001675","001","001001",,,"001675","Y"
"001001001676","001","001001",,,"001676","Y"
"001001001677","001","001001",,,"001677","Y"
"001001001689","001","001001",,,"001689","Y"
"001001001691","001","001001",,,"001691","Y"
"001001001695","001","001001",,,"001695","Y"
"001001001699","001","001001",,,"001699","Y"
"001001001700","001","001001",,,"001700","Y"
"001001001701","001","001001",,,"001701","Y"
"001001001849","001001","001001",,,"001849","Y"
"001001001850","001001","001001",,,"001850","Y"
"001001001851","001001","001001",,,"001851","Y"
"001001003493","001001","001001",,,"003493","Y"
"001001004062","001001","001001",,,"004062","Y"
"001001004720","001001","001001",,,"004720","Y"
"001001006174","001001","001001",,,"006174","Y"
"001001006829","001001","001001",,,"006829","Y"
"001058000356","001","001058","Condom lubricant Water base 5ml","00007","000356","Y"
"001058000357","001","001058","Condom","PC","000357","Y"
"001058000489","001","001058","Cryovial","PC","000489","Y"
"001058000490","001","001058","Insulin Syringe, 1cc w/ niddle, 27 gauze x 1/2 length","PC","000490","Y"
"001058000491","001","001058","Yellow Tips","PC","000491","Y"
"001058000492","001","001058","Partec CD4 Easy Count","TESTX","000492","Y"
"001058000494","001","001058","Cleaning Solution  250ml","BOT","000494","Y"
"001058000496","001","001058","Decontamination Solution, 250 ml","BOT","000496","Y"
"001058000497","001","001058","Sheath Fluid 5 liters","00024","000497","Y"
"001058000499","001","001058","Partec Count Check Beads Green, 2x25ml","00024","000499","Y"
"001058000500","001","001058","Sample Tubes, 3.5ml x 12mm","PC","000500","Y"
"001058000501","001","001058","Hyppchloride Solutions, 250ml","BOT","000501","Y"
"001058000502","001","001058","Inline Filter","PC","000502","Y"
"001058000503","001","001058","Facscount CD4/CD3 Reagent","TESTX","000503","Y"
"001058000504","001","001058","Facscount Control","TESTX","000504","Y"
"001058000505","001","001058","HIV 1/2 WB Set ""Determine""","TESTX","000505","Y"
"001058000506","001","001058","Syphilis RPR","TESTX","000506","Y"
"001058000517","001","001058","Partec CD4% Easy Count","TESTX","000517","Y"
"001058000527","001","001058","HIV Blot 2.2version, western 36 strips","TESTX","000527","Y"
"001058000635","001","001058","Tourniquet","PC","000635","N"
"001058000636","001","001058","Blood Lancet, sterile","PC","000636","N"
"001058000637","001","001058","Penis Model","PC","000637","N"
"001058000638","001","001058","Vaginal Speculum, small","PC","000638","N"
"001058000639","001","001058","Vaginal Speculum, medium","PC","000639","N"
"001058000641","001","001058","Lubricant water based","00007","000641","N"
"001058001354","001","001058","HBsAg","TESTX","001354","N"
"001058001546","001","001058","HIV 1/2 TEST KIT","TESTX","001546","Y"
"001058001568","001","001058","Micro Plate","PC","001568","N"
"001058001569","001","001058","HIV 1/2 Serodia","TESTX","001569","Y"
"001058001642","001","001058","Syringe 5ml 26G x 1""","PC","001642","Y"
"001058001646","001","001058","Blood Collection Tube 5ml., 75x13mm","PC","001646","Y"
"001081000538","001","001081","Printing Of Tube Cards or Insert Card for LRT 1","PC","000538","N"
"001081000539","001","001081","Printing Of Tube Cards or Insert Card for LRT 2","PC","000539","N"
"001081000540","001","001081","Am I Poster - Sure","PC","000540","N"
"001081000541","001","001081","Am I Poster - Ligtas","PC","000541","N"
"001081000542","001","001081","Am I Poster - Safe","PC","000542","N"
"001081000543","001","001081","Am I Poster - Ako si Miguel","PC","000543","N"
"001081000544","001","001081","Am I Poster - Hi I'm Miguel","PC","000544","N"
"001081000545","001","001081","Fit Live Young (I FLY) MRT/LRT Poster","PC","000545","N"
"001081000546","001","001081","HIV AIDS Handbook","00002","000546","N"
"001081000547","001","001081","Post Exposure Management","00002","000547","N"
"001081000640","001","001081","HIV & Young People Flipchart","PC","000640","N"
"001081000663","001","001081","May HIV kaya ako fan","PC","000663","N"
"001081000664","001","001081","IEC KAYA MO? flyers","PC","000664","N"
"001081001702","001","001081",,,"001702","Y"
"001715",,,,,"001715","Y"
"001716",,,,,"001716","Y"
"001717",,,,,"001717","Y"
"001776",,,,,"001776","Y"
"001848",,,,,"001848","Y"
"001863",,,,,"001863","Y"
"001889",,,,,"001889","Y"
"001916",,,,,"001916","Y"
"002002000063","002","002002","Cholera Rapid Test Kit","KITXX","000063","Y"
"002002000671","002","002002","Cary - Blair (Culture Swab)","00024","000671","Y"
"002002001056","002","002002","Typhiod Rapid Test Kit","00009","001056","Y"
"002002001348","002","002002","IV CANNULA (PEDIA) G22 X 1""","PC","001348","Y"
"002002001349","002","002002","IV CANNULA (PEDIA) G24 X 19mm","PC","001349","Y"
"002002001507","002","002002","Disposable Surgical Mask 3ply","BOX","001507","N"
"002002001666","002","002002",,,"001666","Y"
"002002001670","002","002002",,,"001670","Y"
"002002001681","002","002002",,,"001681","Y"
"002002001688","002","002002",,,"001688","Y"
"002006000007","002","002006","Albendazole 400mg","TAB49","000007","Y"
"002006000008","002","002006","Ciprofloxacin 500mg","TAB49","000008","Y"
"002006000009","002","002006","Cotrimoxazole 200mg/5mL suspension+ 40mg Trimetoprim, 5mL","BOT","000009","Y"
"002006000010","002","002006","Metronidazole 125mg/5mL suspension, 60mL","BOT","000010","Y"
"002006000023","002","002006","Metronidazole 500mg","TAB49","000023","Y"
"002006000108","002","002006","Ceftriaxone 1g","00011","000108","Y"
"002006000109","002","002006","IV Infusion FluidIMB 1L","BOT","000109","Y"
"002006000110","002","002006","IV Infusion Fluid D5LR 1L","BOT","000110","Y"
"002006000175","002","002006","IV Infusion fluid D5 LR 1000ml","00003","000175","Y"
"002006000176","002","002006","IV Infusion fluid D5 IMB,1000ml","00003","000176","Y"
"002006000177","002","002006","Aquatabs 67mg","TAB49","000177","Y"
"002006000731","002","002006","Intravenous Fluid D5LR IV Fluid","BOT","000731","Y"
"002006000732","002","002006","Intravenous Fluid D5IMB IV Fluid","BOT","000732","Y"
"002006001350","002","002006","Ferrous Sulfate Tabs.(eq.60mg. element.Iron)200mg + 400mcg. Folic Acid","TAB49","001350","Y"
"002006001710","002","002006",,,"001710","Y"
"002006002801","002006","002006",,,"002801","Y"
"002006002802","002006","002006",,,"002802","Y"
"002006003207","002006","002006","Alben",,"003207","Y"
"002006003208","002006","002006",,,"003208","Y"
"002006003530","002006","002006",,,"003530","Y"
"002006004321","002006","002006",,,"004321","Y"
"002006006141","002006","002006",,,"006141","Y"
"002006006429","002006","002006",,,"006429","Y"
"002006006669","002006","002006",,,"006669","Y"
"002006006722","002006","002006",,,"006722","Y"
"002006006723","002006","002006",,,"006723","Y"
"002006007281","002006","002006",,,"007281","Y"
"002035",,,,,"002035","Y"
"002097000682","002","002097","Lifestraw","PC","000682","N"
"002097000726","002","002097","Sodium Hypochlorite 1.25% 100ml (Waterine)","BOT","000726","Y"
"002097000727","002","002097","Troclosene Sodium 67mg","TAB49","000727","Y"
"002556",,,,,"002556","Y"
"002571",,,,,"002571","Y"
"002641",,,,,"002641","Y"
"002663",,,,,"002663","Y"
"002854",,,,,"002854","Y"
"002895",,,,,"002895","Y"
"003003000003","003","003003","Zanamivir 5mg Rotadisk","BOX","000003","Y"
"003003000020","003","003003","Tamiflu 75mg","CAPSU","000020","Y"
"003003000021","003","003003","Tamiflu Oral suspension 12mg/mL","BOT","000021","Y"
"003003000022","003","003003","Doxycycline 100mg","TAB49","000022","Y"
"003003001629","003","003003","Oseltamivir 75mg. Capsule","CAPSU","001629","Y"
"003003001693","003","003003",,,"001693","Y"
"003003001697","003","003003",,,"001697","Y"
"003003003494","003003","003003",,,"003494","Y"
"003003006140","003003","003003",,,"006140","Y"
"003091000629","003","003091","Latex gloves 8"", non-sterile","00022","000629","N"
"003091000630","003","003091","Face Mask N-95","PC","000630","N"
"003091000631","003","003091","Head Cap","PC","000631","N"
"003091000632","003","003091","Plastic Shoe Cover","00022","000632","N"
"003091000633","003","003091","Cover all","PC","000633","N"
"003091001823","003","003091",,,"001823","Y"
"003164",,,,,"003164","Y"
"004004000064","004","004004","Oral Contraceptive Pills","00010","000064","Y"
"004004000257","004","004004","Oral Pills EXCLUTON","00010","000257","Y"
"004004000258","004","004004","Oral Pills MARVELON","00010","000258","Y"
"004004000259","004","004004","Oral Pills MICROGYNON","00010","000259","Y"
"004004001603","004","004004","DMPA 150mg/ml in 1ml vial with Syringes","00011","001603","Y"
"004004001610","004","004004","MEDROXYPROGESTERONE ACETATE","00011","001610","Y"
"004004001663","004","004004",,,"001663","Y"
"004004001682","004","004004",,,"001682","Y"
"004004001726","004","004004",,,"001726","Y"
"004004001727","004","004004",,,"001727","Y"
"004004001796","004","004004",,,"001796","Y"
"004004001797","004","004004",,,"001797","Y"
"004004001798","004","004004",,,"001798","Y"
"004004001799","004","004004",,,"001799","Y"
"004004001800","004","004004",,,"001800","Y"
"004004001801","004","004004",,,"001801","Y"
"004004001802","004","004004",,,"001802","Y"
"004004001803","004","004004",,,"001803","Y"
"004004001804","004","004004",,,"001804","Y"
"004004001805","004","004004",,,"001805","Y"
"004004001847","004","004004",,,"001847","Y"
"004004001917","004004","004004",,,"001917","Y"
"004004001928","004004","004004",,,"001928","Y"
"004004001931","004004","004004",,,"001931","Y"
"004004002084","004004","004004",,,"002084","Y"
"004004002085","004004","004004",,,"002085","Y"
"004004002086","004004","004004",,,"002086","Y"
"004004002087","004004","004004",,,"002087","Y"
"004004002088","004004","004004",,,"002088","Y"
"004004002089","004004","004004",,,"002089","Y"
"004004002135","004004","004004",,,"002135","Y"
"004004002136","004004","004004",,,"002136","Y"
"004004002298","004004","004004",,,"002298","Y"
"004004002299","004004","004004",,,"002299","Y"
"004004002300","004004","004004",,,"002300","Y"
"004004002404","004004","004004",,,"002404","Y"
"004004002405","004004","004004",,,"002405","Y"
"004004002564","004004","004004",,,"002564","Y"
"004004002565","004004","004004",,,"002565","Y"
"004004002566","004004","004004",,,"002566","Y"
"004004002619","004004","004004",,,"002619","Y"
"004004002620","004004","004004",,,"002620","Y"
"004004002621","004004","004004",,,"002621","Y"
"004004002693","004004","004004",,,"002693","Y"
"004004002694","004004","004004",,,"002694","Y"
"004004002695","004004","004004",,,"002695","Y"
"004004002696","004004","004004",,,"002696","Y"
"004004002723","004004","004004",,,"002723","Y"
"004004002724","004004","004004",,,"002724","Y"
"004004002725","004004","004004",,,"002725","Y"
"004004002855","004004","004004",,,"002855","Y"
"004004002856","004004","004004",,,"002856","Y"
"004004002937","004004","004004",,,"002937","Y"
"004004002938","004004","004004",,,"002938","Y"
"004004002939","004004","004004",,,"002939","Y"
"004004003548","004004","004004",,,"003548","Y"
"004004003555","004004","004004",,,"003555","Y"
"004004003556","004004","004004",,,"003556","Y"
"004004003913","004004","004004",,,"003913","Y"
"004004003915","004004","004004",,,"003915","Y"
"004004004023","004004","004004",,,"004023","Y"
"004004004024","004004","004004",,,"004024","Y"
"004004004025","004004","004004",,,"004025","Y"
"004004004057","004004","004004",,,"004057","Y"
"004004004058","004004","004004",,,"004058","Y"
"004004004059","004004","004004",,,"004059","Y"
"004004004140","004004","004004",,,"004140","Y"
"004004004141","004004","004004",,,"004141","Y"
"004004004143","004004","004004",,,"004143","Y"
"004004004144","004004","004004",,,"004144","Y"
"004004004163","004004","004004",,,"004163","Y"
"004004004164","004004","004004",,,"004164","Y"
"004004004166","004004","004004",,,"004166","Y"
"004004004310","004004","004004",,,"004310","Y"
"004004004311","004004","004004",,,"004311","Y"
"004004004708","004004","004004",,,"004708","Y"
"004004004709","004004","004004",,,"004709","Y"
"004004004710","004004","004004",,,"004710","Y"
"004004004711","004004","004004",,,"004711","Y"
"004004004748","004004","004004",,,"004748","Y"
"004004004749","004004","004004",,,"004749","Y"
"004004004892","004004","004004",,,"004892","Y"
"004004004918","004004","004004",,,"004918","Y"
"004004005341","004004","004004",,,"005341","Y"
"004004005342","004004","004004",,,"005342","Y"
"004004005343","004004","004004",,,"005343","Y"
"004004005344","004004","004004",,,"005344","Y"
"004004005345","004004","004004",,,"005345","Y"
"004004005346","004004","004004",,,"005346","Y"
"004004005347","004004","004004",,,"005347","Y"
"004004005348","004004","004004",,,"005348","Y"
"004004005661","004004","004004",,,"005661","Y"
"004004005662","004004","004004",,,"005662","Y"
"004004005666","004004","004004",,,"005666","Y"
"004004005884","004004","004004",,,"005884","Y"
"004004005885","004004","004004",,,"005885","Y"
"004004005886","004004","004004",,,"005886","Y"
"004004005927","004004","004004",,"2 Box","005927","Y"
"004004005928","004004","004004",,,"005928","Y"
"004004005929","004004","004004",,,"005929","Y"
"004004005931","004004","004004",,,"005931","Y"
"004004005932","004004","004004",,,"005932","Y"
"004004005933","004004","004004",,,"005933","Y"
"004004005934","004004","004004",,,"005934","Y"
"004004005935","004004","004004",,,"005935","Y"
"004004005936","004004","004004",,,"005936","Y"
"004004005944","004004","004004",,,"005944","Y"
"004004005945","004004","004004",,,"005945","Y"
"004004005950","004004","004004",,,"005950","Y"
"004004006186","004004","004004",,,"006186","Y"
"004004006187","004004","004004",,,"006187","Y"
"004004006188","004004","004004",,,"006188","Y"
"004004006245","004004","004004",,,"006245","Y"
"004004006247","004004","004004",,,"006247","Y"
"004004006410","004004","004004",,,"006410","Y"
"004004006533","004004","004004",,,"006533","Y"
"004004006534","004004","004004",,,"006534","Y"
"004004006569","004004","004004",,,"006569","Y"
"004004006583","004004","004004",,,"006583","Y"
"004004006584","004004","004004",,,"006584","Y"
"004004006637","004004","004004",,,"006637","Y"
"004004006638","004004","004004",,,"006638","Y"
"004004006639","004004","004004",,,"006639","Y"
"004004006731","004004","004004",,,"006731","Y"
"004004006732","004004","004004",,,"006732","Y"
"004004006733","004004","004004",,,"006733","Y"
"004004006775","004004","004004",,,"006775","Y"
"004004006803","004004","004004","Combined Oral Contraceptive pills","cycle pack","006803","Y"
"004004006804","004004","004004",,,"006804","Y"
"004004006910","004004","004004",,,"006910","Y"
"004004007133","004004","004004",,,"007133","Y"
"004004007134","004004","004004",,,"007134","Y"
"004004007135","004004","004004",,,"007135","Y"
"004054000069","004","004054","Cycle Beads","PC","000069","N"
"004054000322","004","004054","ZOE Gynecologic Simulator","00006","000322","N"
"004054001558","004","004054","Natural Family Planning Chart-Symptothermal (STM)","PC","001558","N"
"004054001559","004","004054","Natural Family Planning Chart-Cervical Mucus Method (CMM)","PC","001559","N"
"004054001560","004","004054","Natural Family Planning Chart-Basal body Temperature (BBT)","PC","001560","N"
"004054001595","004","004054","Family Planning Form I","00002","001595","N"
"004054005930","004054","004054",,,"005930","Y"
"004054006412","004054","004054",,,"006412","Y"
"004055000065","004","004055","IUD","PC","000065","Y"
"004055000066","004","004055","DMPA  150mg/mL with Syringe","00011","000066","Y"
"004055000068","004","004055","Condom","PC","000068","Y"
"004055000255","004","004055","IMPLANON - Etonogestrel 68mg.","INSEX","000255","Y"
"004055000256","004","004055","IUD - COPPER T380A","PC","000256","Y"
"004055001918","004055","004055",,,"001918","Y"
"004055002090","004055","004055",,,"002090","Y"
"004055002137","004055","004055",,,"002137","Y"
"004055002138","004055","004055",,,"002138","Y"
"004055002406","004055","004055",,,"002406","Y"
"004055002567","004055","004055",,,"002567","Y"
"004055002622","004055","004055",,,"002622","Y"
"004055002623","004055","004055",,,"002623","Y"
"004055002697","004055","004055",,,"002697","Y"
"004055002698","004055","004055",,,"002698","Y"
"004055002726","004055","004055",,,"002726","Y"
"004055002940","004055","004055",,,"002940","Y"
"004055002941","004055","004055",,,"002941","Y"
"004055003361","004055","004055",,,"003361","Y"
"004055003546","004055","004055",,,"003546","Y"
"004055003547","004055","004055",,,"003547","Y"
"004055003549","004055","004055",,,"003549","Y"
"004055003557","004055","004055",,,"003557","Y"
"004055003558","004055","004055",,,"003558","Y"
"004055004142","004055","004055",,,"004142","Y"
"004055004673","004055","004055",,,"004673","Y"
"004055005667","004055","004055",,,"005667","Y"
"004055005887","004055","004055",,,"005887","Y"
"004055005888","004055","004055",,,"005888","Y"
"004055005937","004055","004055",,,"005937","Y"
"004055005938","004055","004055",,,"005938","Y"
"004055005939","004055","004055",,,"005939","Y"
"004055005946","004055","004055",,,"005946","Y"
"004055005947","004055","004055",,,"005947","Y"
"004055005948","004055","004055",,,"005948","Y"
"004055006184","004055","004055",,,"006184","Y"
"004055006185","004055","004055",,,"006185","Y"
"004055006244","004055","004055",,,"006244","Y"
"004055006246","004055","004055",,,"006246","Y"
"004055006408","004055","004055",,,"006408","Y"
"004055006409","004055","004055",,,"006409","Y"
"004055006411","004055","004055",,,"006411","Y"
"004055006413","004055","004055",,,"006413","Y"
"004055006535","004055","004055",,,"006535","Y"
"004055006647","004055","004055",,,"006647","Y"
"004055006648","004055","004055",,,"006648","Y"
"004055006649","004055","004055",,,"006649","Y"
"004055006650","004055","004055",,,"006650","Y"
"004442",,,,,"004442","Y"
"004469",,,,,"004469","Y"
"004524",,,,,"004524","Y"
"004716",,,,,"004716","Y"
"004763",,,,,"004763","Y"
"004782",,,,,"004782","Y"
"004827",,,,,"004827","Y"
"004993",,,,,"004993","Y"
"005005000004","005","005005","Albendazole 400mg, 100's","TAB49","000004","Y"
"005005000005","005","005005","Mebendazole 500mg","TAB49","000005","Y"
"005005000006","005","005005","Diethylcarbamazine Citrate 50mg","TAB49","000006","Y"
"005005000104","005","005005","ICT Filariasis Test Kit 25/kit","KITXX","000104","Y"
"005005000670","005","005005","Praziquantel 600mg. tablet","TAB49","000670","Y"
"005005001685","005","005005",,,"001685","Y"
"005005002769","005005","005005",,,"002769","Y"
"005063000383","005","005063","Filariasis kit 25pcs/kit","KITXX","000383","Y"
"005063000656","005","005063","Disability Kit","00001","000656","N"
"005065001645","005","005065","Integrated Microscopy for Medical Technologist","00002","001645","N"
"005350",,,,,"005350","Y"
"005419",,,,,"005419","Y"
"005518",,,,,"005518","Y"
"005676",,,,,"005676","Y"
"005677",,,,,"005677","Y"
"005696",,,,,"005696","Y"
"005762",,,,,"005762","Y"
"005803",,,,,"005803","Y"
"005832",,,,,"005832","Y"
"005834",,,,,"005834","Y"
"005857",,,,,"005857","Y"
"005924",,,,,"005924","Y"
"005925",,,,,"005925","Y"
"005953",,,,,"005953","Y"
"005954",,,,,"005954","Y"
"005955",,,,,"005955","Y"
"006003",,,,,"006003","Y"
"006004",,,,,"006004","Y"
"006007",,,,,"006007","Y"
"006007000011","006","006007","Amoxicillin 250mg","CAPSU","000011","Y"
"006007000012","006","006007","Paracetamol 250mg/5mL syrup, 60mL","BOT","000012","Y"
"006007000013","006","006007","Paracetamol 250mg/5mL syrup, 120mL","BOT","000013","Y"
"006007000264","006","006007","Itraconazole 100mg. Capsules","CAPSU","000264","Y"
"006007000566","006","006007","Azithromycin Zithromax 500mg","00011","000566","Y"
"006007000567","006","006007","Azithromycin Zithromax 500mg 3tablet/pack","BOX","000567","Y"
"006007000568","006","006007","Azithromycin Zithromax 500mg","TAB49","000568","Y"
"006007000569","006","006007","Quinine Sulfate 300mg","BOT","000569","Y"
"006007000570","006","006007","Fusidic Acid Cream 2% 5g","00013","000570","Y"
"006007001596","006","006007","Ferrous 200mg+Folic Acid 400mcg tablet","TAB49","001596","Y"
"006007001631","006","006007","Metronidazole 125mg/5ml Suspension","BOT","001631","Y"
"006007001632","006","006007","Metronidazole 500mg. tablet","TAB49","001632","Y"
"006007001673","006","006007",,,"001673","Y"
"006007001706","006","006007",,,"001706","Y"
"006007002803","006007","006007",,,"002803","Y"
"006007003601","006007","006007",,,"003601","Y"
"006007005479","006007","006007",,,"005479","Y"
"006007005491","006007","006007",,,"005491","Y"
"006007006154","006007","006007",,,"006154","Y"
"006007007285","006007","006007",,,"007285","Y"
"006007007321","006007","006007",,,"007321","Y"
"006007007352","006007","006007",,,"007352","Y"
"006044",,,,,"006044","Y"
"006076",,,,,"006076","Y"
"006083000571","006","006083","KATO KATZ","00009","000571","Y"
"006083000572","006","006083","Hudson X-Pert Service","00009","000572","Y"
"006083000573","006","006083","Microscope Immersion Oil 30ml","BOT","000573","N"
"006083000577","006","006083","Sputum Cup, 20ml","PC","000577","N"
"006083000578","006","006083","Hyposol / Waterine","BOT","000578","N"
"006083000579","006","006083","Frosted Glass Slides","BOX","000579","N"
"006084000575","006","006084","Module on Integrated Microscopy for Medical Technology","00002","000575","N"
"006084001573","006","006084","Leprosy Control in the Philippines Handbook 2006-2010","00002","001573","N"
"006114",,,,,"006114","Y"
"006190",,,,,"006190","Y"
"006252",,,,,"006252","Y"
"006504",,,,,"006504","Y"
"006578",,,,,"006578","Y"
"006581",,,,,"006581","Y"
"006614",,,"Human Pappiloma Vaccine","vial","006614","Y"
"006623",,,,,"006623","Y"
"006658",,,,,"006658","Y"
"006684",,,,,"006684","Y"
"006753",,,,,"006753","Y"
"006885",,,,,"006885","Y"
"006887",,,,,"006887","Y"
"006935",,,,,"006935","Y"
"006956",,,,,"006956","Y"
"007008000016","007","007008","Ferrous Sulfate + Folic Acid 60mg","TAB49","000016","Y"
"007008000017","007","007008","Ketoconazole 200mg","TAB49","000017","Y"
"007008000018","007","007008","Prednisone 10mg","TAB49","000018","Y"
"007008000024","007","007008","Vitamin B1 B6 B12","TAB49","000024","Y"
"007008000025","007","007008","Ferrous Sulfate 200mg + Folic Acid 400mcg","TAB49","000025","Y"
"007008000111","007","007008","Soduim Fusidate 2% Ointment 15g","00013","000111","Y"
"007008000112","007","007008","Bethamethasone Ointment 1mg, 5g","00013","000112","Y"
"007008000170","007","007008","Azithromycin tab.500mg","TAB49","000170","Y"
"007008000171","007","007008","Azithromycin vial.500mg powder for solution for IV infusion","00011","000171","Y"
"007008000172","007","007008","Cefixime 200mg cap(Tergecef)","CAPSU","000172","Y"
"007008000173","007","007008","Sulfur Ointment","00013","000173","Y"
"007008000174","007","007008","Prednisone Ointment","00013","000174","Y"
"007008000178","007","007008","MB Adult","00018","000178","Y"
"007008000179","007","007008","MB Child","00018","000179","Y"
"007008000180","007","007008","PB Adult","00018","000180","Y"
"007008000181","007","007008","PB Child","00018","000181","Y"
"007008000182","007","007008","Whitfield Ointment","00017","000182","N"
"007008000183","007","007008","Antibiotic Ointment","00017","000183","N"
"007008000262","007","007008","Clobesol Cream 15g.","00013","000262","Y"
"007008000283","007","007008","Sulfur Ointment (Kilo)","00017","000283","N"
"007008000432","007","007008","Fusidate Sodium/Fucidic Acid 20mg/g (2%) cream 5g","00013","000432","Y"
"007008000574","007","007008","ABO 2%","00017","000574","Y"
"007008001345","007","007008","Ascorbic Acid 500mg. tablet","TAB49","001345","Y"
"007008001690","007","007008",,,"001690","Y"
"007008001692","007","007008",,,"001692","Y"
"007008001839","007","007008",,,"001839","Y"
"007008001840","007","007008",,,"001840","Y"
"007008003360","007008","007008",,,"003360","Y"
"007008004717","007008","007008",,,"004717","Y"
"007008004718","007008","007008",,,"004718","Y"
"007008004719","007008","007008",,,"004719","Y"
"007008004724","007008","007008",,,"004724","Y"
"007008005833","007008","007008",,,"005833","Y"
"007008006670","007008","007008",,,"006670","Y"
"007008006671","007008","007008",,,"006671","Y"
"007008006672","007008","007008",,,"006672","Y"
"007048000653","007","007048","Training Manual for Leprosy ATLAS","00002","000653","N"
"007052",,,,,"007052","Y"
"008010000019","008","008010","Ferrous Sulfate + Folic Acid 60mg","TAB49","000019","Y"
"008010000026","008","008010","Ferrous Sulfate 200mg + Folic Acid 400mcg","TAB49","000026","Y"
"008010000027","008","008010","Ferrous Salt Iron drops 15mg, 30mL, 0.6mL","BOT","000027","Y"
"008010000028","008","008010","Ferrous Sulfate syrup 30mg, 120mL, 5mL","BOT","000028","Y"
"008010000029","008","008010","Vitamin A 100,000 IU Soft Gel Capsule","CAPSU","000029","Y"
"008010000030","008","008010","Vitamin A 200,000 IU Soft Gel Capsule","CAPSU","000030","Y"
"008010000113","008","008010","Multiple Micronutrients","00014","000113","Y"
"008010000265","008","008010","Iodized Oil Fluids 500mg.","CAPSU","000265","Y"
"008010000266","008","008010","Ferrous Sulfate Solution 125mg/ml. 30ml. drops","BOT","000266","Y"
"008010000267","008","008010","Ferrous Sulfate Heptahydrate 150mg/5ml. Syrup 60ml.","BOT","000267","Y"
"008010001312","008","008010","Ferrous Sulfate 75mg. Oral Drops","BOT","001312","Y"
"008010001705","008","008010",,,"001705","Y"
"008010001718","008","008010",,,"001718","Y"
"008010001824","008","008010",,,"001824","Y"
"008010001905","008010","008010",,,"001905","Y"
"008010001906","008010","008010",,,"001906","Y"
"008010001907","008010","008010",,,"001907","Y"
"008010002021","008010","008010",,,"002021","Y"
"008010002033","008010","008010",,,"002033","Y"
"008010002034","008010","008010",,,"002034","Y"
"008010002119","008010","008010",,,"002119","Y"
"008010002120","008010","008010",,,"002120","Y"
"008010002143","008010","008010",,,"002143","Y"
"008010002321","008010","008010",,,"002321","Y"
"008010002767","008010","008010",,,"002767","Y"
"008010002784","008010","008010",,,"002784","Y"
"008010002804","008010","008010",,,"002804","Y"
"008010002876","008010","008010",,,"002876","Y"
"008010002877","008010","008010",,,"002877","Y"
"008010002878","008010","008010",,,"002878","Y"
"008010002879","008010","008010",,,"002879","Y"
"008010002880","008010","008010",,,"002880","Y"
"008010002881","008010","008010",,,"002881","Y"
"008010002882","008010","008010",,,"002882","Y"
"008010002883","008010","008010",,,"002883","Y"
"008010002884","008010","008010",,,"002884","Y"
"008010002885","008010","008010",,,"002885","Y"
"008010002886","008010","008010",,,"002886","Y"
"008010002888","008010","008010",,,"002888","Y"
"008010002889","008010","008010",,,"002889","Y"
"008010002890","008010","008010",,,"002890","Y"
"008010002891","008010","008010",,,"002891","Y"
"008010003307","008010","008010",,,"003307","Y"
