"hprodid","Drug_Code","hprodname","Drug_Name","brandname","brandcode","genname","gencode","rtedesc","rtecode","formdesc","formcode","stredesc","strecode","edl","pndf_classification","sales_category","expiry_date","issue_date","status","inc","pprice","sprice","reorder","cprno","packcode","packdesc","altcode","oldcode","mdrprice","mdrp_dateasof","price_indicator","seq_no","manu_name"
"03SOD1H900SOL3502210008459","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , BAXTER HEALTHCARE PHILS INC , Polyvinyl chloride w/ HDPE over pouch plastic bag (1000 mL) 50 mL in 100 mL nominal size container","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","31/8/2014","17/9/2009","R","0","0","0","0","DR-XY146","02210","Polyvinyl chloride w/ HDPE over pouch plastic bag (1000 mL) 50 mL in 100 mL nominal size container","","","0","0/0/0","","","Baxter Healthcare Phils Inc"
"03SOD1H900SOL3502211008460","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , BAXTER HEALTHCARE PHILS INC , Polyvinyl chloride w/ HDPE over pouch plastic bag (2000 mL) 50 mL in 100 mL nominal size container","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","31/8/2014","17/9/2009","R","0","0","0","0","DR-XY146","02211","Polyvinyl chloride w/ HDPE over pouch plastic bag (2000 mL) 50 mL in 100 mL nominal size container","","","0","0/0/0","","","Baxter Healthcare Phils Inc"
"03SOD1H900SOL3502212008461","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , BAXTER HEALTHCARE PHILS INC , Polyvinyl chloride w/ HDPE over pouch plastic bag (250 mL) 50 mL in 100 mL nominal size container","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","31/8/2014","17/9/2009","R","0","0","0","0","DR-XY146","02212","Polyvinyl chloride w/ HDPE over pouch plastic bag (250 mL) 50 mL in 100 mL nominal size container","","","0","0/0/0","","","Baxter Healthcare Phils Inc"
"03SOD1H900SOL3502213008462","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , BAXTER HEALTHCARE PHILS INC , Polyvinyl chloride w/ HDPE over pouch plastic bag (500mL) 50 mL in 100 mL nominal size container","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","31/8/2014","17/9/2009","R","0","0","0","0","DR-XY146","02213","Polyvinyl chloride w/ HDPE over pouch plastic bag (500mL) 50 mL in 100 mL nominal size container","","","0","0/0/0","","","Baxter Healthcare Phils Inc"
"03SOD1H900SOL3502214008463","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , BAXTER HEALTHCARE PHILS INC , Polyvinyl chloride w/ HDPE over pouch plastic bag (50 mL) 50 mL in 100 mL nominal size container","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","31/8/2014","17/9/2009","R","0","0","0","0","DR-XY146","02214","Polyvinyl chloride w/ HDPE over pouch plastic bag (50 mL) 50 mL in 100 mL nominal size container","","","0","0/0/0","","","Baxter Healthcare Phils Inc"
"03SOD1H900SOL3502215008464","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , BAXTER HEALTHCARE PHILS INC , Polyvinyl chloride w/ HDPE overpouch plastic bag (100 mL) 5 mL in 100 mL nominal size container","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","31/8/2014","12/4/2010","R","0","0","0","0","DR-XY14635-L","02215","Polyvinyl chloride w/ HDPE overpouch plastic bag (100 mL) 5 mL in 100 mL nominal size container","","","0","0/0/0","","","Baxter Healthcare Phils Inc"
"03SOD1H900SOL3502216008465","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , BAXTER HEALTHCARE PHILS INC , Polyvinyl chloride w/ HDPE overpouch plastic bag (1000 mL) 5 mL in 100 mL nominal size container","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","31/8/2014","12/4/2010","R","0","0","0","0","DR-XY14635-L","02216","Polyvinyl chloride w/ HDPE overpouch plastic bag (1000 mL) 5 mL in 100 mL nominal size container","","","0","0/0/0","","","Baxter Healthcare Phils Inc"
"03SOD1H900SOL3502217008466","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , BAXTER HEALTHCARE PHILS INC , Polyvinyl chloride w/ HDPE overpouch plastic bag (2000 mL) 5 mL in 100 mL nominal size container","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","31/8/2014","12/4/2010","R","0","0","0","0","DR-XY14635-L","02217","Polyvinyl chloride w/ HDPE overpouch plastic bag (2000 mL) 5 mL in 100 mL nominal size container","","","0","0/0/0","","","Baxter Healthcare Phils Inc"
"03SOD1H900SOL3502218008467","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , BAXTER HEALTHCARE PHILS INC , Polyvinyl chloride w/ HDPE overpouch plastic bag (250 mL) 5 mL in 100 mL nominal size container","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","31/8/2014","12/4/2010","R","0","0","0","0","DR-XY14635-L","02218","Polyvinyl chloride w/ HDPE overpouch plastic bag (250 mL) 5 mL in 100 mL nominal size container","","","0","0/0/0","","","Baxter Healthcare Phils Inc"
"03SOD1H900SOL3502219008468","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , BAXTER HEALTHCARE PHILS INC , Polyvinyl chloride w/ HDPE overpouch plastic bag (50 mL) 5 mL in 100 mL nominal size container","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","31/8/2014","12/4/2010","R","0","0","0","0","DR-XY14635-L","02219","Polyvinyl chloride w/ HDPE overpouch plastic bag (50 mL) 5 mL in 100 mL nominal size container","","","0","0/0/0","","","Baxter Healthcare Phils Inc"
"03SOD1H900SOL3502220008469","03SODSOL351H900","0.9% Sodium Chloride , 100 mL /900 mg , Solution For Infusion , BAXTER HEALTHCARE PHILS INC , Polyvinyl chloride w/ HDPE overpouch plastic bag (500 mL) 5 mL in 100 mL nominal size container","0.9% Sodium Chloride  SOLUTION FOR INFUSION  100 mL /900 mg","","","0.9% Sodium Chloride","03SOD","","","SOLUTION FOR INFUSION","SOL35","100 mL /900 mg","1H900","Y","","","31/8/2014","12/4/2010","R","0","0","0","0","DR-XY14635-L","02220","Polyvinyl chloride w/ HDPE overpouch plastic bag (500 mL) 5 mL in 100 mL nominal size container","","","0","0/0/0","","","Baxter Healthcare Phils Inc"
"1GRAMPOW13VIALX002589","CEFAZPOW131GRAM","Cefazolin , 1 gram , Powder For Injection Solution , MEGACEF","Cefazolin  POWDER FOR INJECTION SOLUTION  1 gram","Megacef","","Cefazolin","CEFAZ","","","POWDER FOR INJECTION SOLUTION","POW13","1 gram","1GRAM","Y","","","16/8/2011","15/8/2006","AR","0","0","0","0","DR-XY21789","VIALX","vial","","","0","0/0/0","","","Oboi-"
"5DEXW000P5SOL3500323008472","5DEXWSOL35000P5","5% Dextrose In Water , 0.05 , Solution For Infusion , EURO-MED , 1000 mL Flint IV glass","5% Dextrose in Water  SOLUTION FOR INFUSION  0.05","","","5% Dextrose in Water","5DEXW","","","SOLUTION FOR INFUSION","SOL35","0.05","000P5","Y","","","9/8/2010","8/2/2006","R","0","0","0","0","DR-676","00323","1000 mL Flint IV glass","","","0","0/0/0","","","Euro-Med"
"5DEXW000P5SOL3500953008473","5DEXWSOL35000P5","5% Dextrose In Water , 0.05 , Solution For Infusion , EURO-MED , 500 mL Flint IV glass","5% Dextrose in Water  SOLUTION FOR INFUSION  0.05","","","5% Dextrose in Water","5DEXW","","","SOLUTION FOR INFUSION","SOL35","0.05","000P5","Y","","","9/8/2010","8/2/2006","R","0","0","0","0","DR-676","00953","500 mL Flint IV glass","","","0","0/0/0","","","Euro-Med"
"5DLRS000P5SOL3200047008470","5DLRSSOL32000P5","5% Dextrose In Lactated Ringer'S , 0.05 , Solution , EURO-MED , 1 L Bottle","5% Dextrose in Lactated Ringer's  SOLUTION  0.05","","","5% Dextrose in Lactated Ringer's","5DLRS","","","SOLUTION","SOL32","0.05","000P5","Y","","","8/8/2010","16/3/2006","R","0","0","0","0","DR-654","00047","1 L Bottle","","","0","0/0/0","","","Euro-Med"
"5DLRS000P5SOL3200950008471","5DLRSSOL32000P5","5% Dextrose In Lactated Ringer'S , 0.05 , Solution , EURO-MED , 500 mL Bottle","5% Dextrose in Lactated Ringer's  SOLUTION  0.05","","","5% Dextrose in Lactated Ringer's","5DLRS","","","SOLUTION","SOL32","0.05","000P5","Y","","","8/8/2010","16/3/2006","R","0","0","0","0","DR-654","00950","500 mL Bottle","","","0","0/0/0","","","Euro-Med"
"ACARB100MGTAB4902055007771","ACARBTAB49100MG","Acarbose , 100 mg , Tablet , GLUCOBAY","Acarbose  TABLET  100 mg","Glucobay","G1529","Acarbose","ACARB","","","TABLET","TAB49","100 mg","100MG","N","","","9/1/2011","9/1/2006","I","0","0","0","0","DR-XY16519-L","02055","Foil strip x 10's (Box of 100's)","","","0","0/0/0","","","Interphil"
"ACARB100MGTAB49FSTRI004227","ACARBTAB49100MG","Acarbose , 100 mg , Tablet , GLUCONASE","Acarbose  TABLET  100 mg","Gluconase","G1530","Acarbose","ACARB","","","TABLET","TAB49","100 mg","100MG","N","","","15/5/2012","15/5/2007","I","0","0","0","0","DR-XY25779","FSTRI","Foil strip","","","0","0/0/0","","","Interphil"
"ACARB50MGXTAB4901204006625","ACARBTAB4950MGX","Acarbose , 50 mg , Tablet , GLUCOBAY","Acarbose  TABLET  50 mg","Glucobay","G1529","Acarbose","ACARB","","","TABLET","TAB49","50 mg","50MGX","Y","","","9/1/2014","17/2/2010","I","0","0","0","0","DR-XY35288","01204","Alu/Alu Blister pack x 10's (Box of 100's)","","","0","0/0/0","","","Bayer Schering Pharma AG"
"ACARB50MGXTAB4901398006856","ACARBTAB4950MGX","Acarbose , 50 mg , Tablet , DIBOSE","Acarbose  TABLET  50 mg","Dibose","D1548","Acarbose","ACARB","","","TABLET","TAB49","50 mg","50MGX","Y","","","30/1/2014","30/1/2009","I","0","0","0","0","DR-XY35376","01398","Alum Blister pack of 10's (Box of 100's)","","","0","0/0/0","","","Ranbaxy (M) Sdn Bhd"
"ACARB50MGXTAB4902055007833","ACARBTAB4950MGX","Acarbose , 50 mg , Tablet , GLUCOBAY","Acarbose  TABLET  50 mg","Glucobay","G1529","Acarbose","ACARB","","","TABLET","TAB49","50 mg","50MGX","N","","","9/1/2011","9/1/2006","I","0","0","0","0","DR-XY16520-L","02055","Foil strip x 10's (Box of 100's)","","","0","0/0/0","","","Interphil"
"ACARB50MGXTAB4902055007834","ACARBTAB4950MGX","Acarbose , 50 mg , Tablet , GLUCONASE","Acarbose  TABLET  50 mg","Gluconase","G1530","Acarbose","ACARB","","","TABLET","TAB49","50 mg","50MGX","N","","","22/12/2011","15/5/2007","I","0","0","0","0","DR-XY25780","02055","Foil strip x 10's (Box of 100's)","","","0","0/0/0","","","Interphil"
"ACECL100MGCAPSUBP351003670","ACECLCAPSU100MG","Aceclofenac , 100 mg , Capsule , CLANZA S","Aceclofenac  CAPSULE  100 mg","Clanza S","C1496","Aceclofenac","ACECL","","","CAPSULE","CAPSU","100 mg","100MG","N","","","26/6/2011","26/6/2008","MR","0","0","0","0","DR-XY34671","BP351","Blister pack x 10's (box of 100's )","","","0","0/0/0","","","Korea United Pharm Inc"
"ACECL100MGTAB2401204008474","ACECLTAB24100MG","Aceclofenac , 100 mg , Tablet Film Coated , AIRTAL","Aceclofenac  TABLET FILM COATED  100 mg","Airtal","A1709","Aceclofenac","ACECL","","","TABLET FILM COATED","TAB24","100 mg","100MG","N","","","16/3/2013","16/3/2010","MR","0","0","0","0","DR-XY37620","01204","Alu/Alu Blister pack x 10's (Box of 100's)","","","0","0/0/0","","","Industrias Farmaceuticas Almirall Orodesfarma S.L"
"ACECL100MGTAB2401205008475","ACECLTAB24100MG","Aceclofenac , 100 mg , Tablet Film Coated , AIRTAL","Aceclofenac  TABLET FILM COATED  100 mg","Airtal","A1709","Aceclofenac","ACECL","","","TABLET FILM COATED","TAB24","100 mg","100MG","N","","","16/3/2013","16/3/2010","MR","0","0","0","0","DR-XY37620","01205","Alu/Alu Blister pack x 10's (Box of 10's)","","","0","0/0/0","","","Industrias Farmaceuticas Almirall Orodesfarma S.L"
"ACECL100MGTAB2401207008476","ACECLTAB24100MG","Aceclofenac , 100 mg , Tablet Film Coated , AIRTAL","Aceclofenac  TABLET FILM COATED  100 mg","Airtal","A1709","Aceclofenac","ACECL","","","TABLET FILM COATED","TAB24","100 mg","100MG","N","","","16/3/2013","16/3/2010","MR","0","0","0","0","DR-XY37620","01207","Alu/Alu Blister pack x 10's (Box of 20's)","","","0","0/0/0","","","Industrias Farmaceuticas Almirall Orodesfarma S.L"
"ACECL100MGTAB2401208008477","ACECLTAB24100MG","Aceclofenac , 100 mg , Tablet Film Coated , AIRTAL","Aceclofenac  TABLET FILM COATED  100 mg","Airtal","A1709","Aceclofenac","ACECL","","","TABLET FILM COATED","TAB24","100 mg","100MG","N","","","16/3/2013","16/3/2010","MR","0","0","0","0","DR-XY37620","01208","Alu/Alu Blister pack x 10's (Box of 30's)","","","0","0/0/0","","","Industrias Farmaceuticas Almirall Orodesfarma S.L"
"ACECL100MGTAB2401209008478","ACECLTAB24100MG","Aceclofenac , 100 mg , Tablet Film Coated , AIRTAL","Aceclofenac  TABLET FILM COATED  100 mg","Airtal","A1709","Aceclofenac","ACECL","","","TABLET FILM COATED","TAB24","100 mg","100MG","N","","","16/3/2013","16/3/2010","MR","0","0","0","0","DR-XY37620","01209","Alu/Alu Blister pack x 10's (Box of 50's)","","","0","0/0/0","","","Industrias Farmaceuticas Almirall Orodesfarma S.L"
"ACECL100MGTAB4901359006791","ACECLTAB49100MG","Aceclofenac , 100 mg , Tablet , TOROXX A","Aceclofenac  TABLET  100 mg","Toroxx A","T1549","Aceclofenac","ACECL","","","TABLET","TAB49","100 mg","100MG","N","","","11/8/2012","11/8/2009","MR","0","0","0","0","DR-XY36454","01359","Alu/PVC Blister pack of 10's (Box of 100's)","","","0","0/0/0","","","Torrent Pharmaceuticals Ltd"
"ACET2250MGTAB49B10SH002121","ACET2TAB49250MG","Acetazolamide , 250 mg , Tablet , NULL","Acetazolamide  TABLET  250 mg",,,"Acetazolamide","ACET2","NOT GIVEN","00001","TABLET","TAB49","250 mg","250MG","Y",,,"14/6/2015","10/2/2010",,,,"1",,"DE-000470","B10SH","Blister pack of 10s (Box of 100s)",,,,,"G","002121","Pascual Labs"
"ACET2250MGTAB49BP351002741","ACET2TAB49250MG","Acetazolamide , 250 mg , Tablet , OPTAMIDE","Acetazolamide  TABLET  250 mg","Optamide","O1519","Acetazolamide","ACET2","","","TABLET","TAB49","250 mg","250MG","Y","","","14/3/2015","19/3/2010","R","0","0","0","0","DR-XY33100","BP351","Blister pack x 10's (box of 100's )","","","0","0/0/0","","","Pascual Labs., Inc"
