"facility_id","facility_name","facility_type"
"94679097","DR. JORGE P. ROYECA HOSPITAL","Official DOH-certified laboratory"
"94679210","KAISER MEDICAL CENTER INC.","Official DOH-certified laboratory"
"94679379","TAGUIG CITY MOLECULAR LABORATORY","Official DOH-certified laboratory"
"94679579","VALENZUELA HOPE MOLECULAR LABORATORY","Official DOH-certified laboratory"
"96025868","MANUEL J. SANTOS HOSPITAL","Official DOH-certified laboratory"
"96026063","PHILIPPINE RED CROSS - CAGAYAN DE ORO","Official DOH-certified laboratory"
"96026337","COTABATO REGIONAL AND MEDICAL CENTER","Official DOH-certified laboratory"
"97988366","FIRST AIDE DIAGNOSTIC CENTER","Official DOH-certified laboratory"
"97988444","ST. LUKES MEDICAL CENTER - QUEZON CITY - GENEXPERT LABORATORY","Official DOH-certified laboratory"
"97988621","NEW WORLD DIAGNOSTICS INC. PREMIUM MEDICAL BRANCH","Official DOH-certified laboratory"
"98426728","RAKKK PROPHET MEDICAL CENTER, INC.","Official DOH-certified laboratory"
"98427299","BIOPATH CLINICAL DIAGNOSTIC, INC.","Official DOH-certified laboratory"
"98427710","THE LORDS GRACE MEDICAL AND INDUSTRIAL CLINIC","Official DOH-certified laboratory"
