"package_code","package_desc"
"BP5TW","BLISTER PACK BY 5S (BOX OF 20S)"
"BP5X5","BLISTER PACK OF 5S (BOX OF 5S)"
"BP5XX","BLISTER PACK X 5"
"BP60S","BLISTER PACK OF 20S (BOX OF 60S)"
"BP60X","BLISTER PACK X 60"
"BP624","BLISTER PACK OF 6S (BOX OF 24S)"
"BP630","BLISTER PACK OF 6S (BOX OF 30S)"
"BP648","BLISTER PACK OF 6S (BOX OF 48S)"
"BP660","BLISTER PACK BY 6S (BOX OF 60S)"
"BP6SX","BLISTER PACK X 6"
"BP714","BLISTER PACK OF 7S (BOX OF 14S)"
"BP724","BLISTER PACK OF 7S (BOX OF 24S)"
"BP728","BLISTER PACK BY 7S (BOX OF 28S)"
"BP7SX","BLISTER PACK X 7"
"BP824","BLISTER PACK OF 8S (BOX OF 24S)"
"BP832","BLISTER PACK BY 8S (BOX OF 32S)"
"BP840","BLISTER PACK BY 8S (BOX OF 40S)"
"BP848","BLISTER PACK OF 8S (BOX OF 48S)"
"BP860","BLISTER PACK OF 8S (BOX OF 60S)"
"BP880","BLISTER PACK BY 8S (BOX OF 80S)"
"BP8SX","BLISTER PACK X 8"
"BPC10","BLISTER PACK OF 100S (BOX OF 10S)"
"BPHXH","BLISTER PACK OF 100S (BOX OF 100S)"
"BPV20","BLISTER PACK OF 5S (BOX OF 20S)"
"BPX12","BLISTER PACK OF 10S (BOX OF 120S)"
"BPX20","BLISTER PACK OF 10S (BOX OF 20S)"
"BPX2H","BLISTER PACK BY 10S (BOX OF 200S)"
"BPX30","BLISTER PACK OF 10S (BOX OF 30S)"
"BPX5H","BLISTER PACK BY 10S (BOX OF 500S)"
"BPX90","BLISTER PACK BY 10S (BOX OF 90S)"
"BPXXX","BLISTER PACK"
"BS100","BLISTER STRIP X 100"
"BS10H","BLISTER STRIP BY 10 (BOX OF 100S)"
"BS10S","BLISTER STRIP BY 10S"
"BS2HX","BLISTER STRIP 20S (BOX OF 100S)"
"BS310","CLEAR PVC/ALUMINUM BLISTER STRIP 3 X 10S"
"BS50X","BLISTER STRIP X 50"
"BS520","BLISTER STRIP 5 X 20S (BOX OF 100S)"
"BS610","CLEAR PVC/ALUMINUM BLISTER STRIP 6 X 10S"
"BS7XX","BLISTER STRIP BY 7"
"BST20","BLISTER STRIP BY 10 (BOX OF 20S)"
"BST50","BLISTER STRIP BY 10 (BOX OF 50S)"
"BSTTH","BLISTER STRIP 10 X 10S (BOX OF 100S)"
"BSXXX","BLISTER STRIP"
"BX150","BLISTER PACK OF 10S (BOX OF 150S)"
"CAN01","CAN"
"CANIS","CANISTER"
"CAR01","CARPULE"
"CAR10","CARTRIDGE"
"COLOA","COLORLESS AMPUL"
"COLOG","COLORLESS GLASS"
"CP001","COMBO-PACK "
"CRRT1","CRRT"
"CYC01","CYCLE"
"DFPHS","DOUBLE FOIL BLISTERS, 100S"
"DIC01","DUPLEX III CONTAINER"
"DIS01","DISPENSER"
"DPB01","D5W PRE-MIXED BOTTLE"
"DRO01","DROPS"
"DRU01","DRUM"
"DS001","DISPOSABLE SYRINGE"
"ELI01","ELIXIR"
"FBSTR","FOIL BLISTER STRIP"
"FF10X","FLEX FOIL BY 10S (BOX OF 150S)"
"FF4HX","FLEX FOIL BY 4S (BOX OF 100S)"
"FFS25","FLEX FOIL STRIP 25 X 4S (BOX OF 100S)"
"FFSXX","FLEX FOIL STRIP"
"FFT10","FLEX FOIL BY 10S"
"FFT50","FLEX FOIL BY 10S (BOX OF 50S)"
"FP330","FOIL PACK BY 3 (BOX OF 30S)"
"FP4BC","FOIL PACK BY 4 (BOX OF 100S)"
"FS100","FOIL STRIP BY 100S"
"FS101","FOIL STRIP BY 10S (BOX OF 10S)"
"FS102","FOIL STRIP BY 10S (BOX OF 20S)"
"FS103","FOIL STRIP BY 10S (BOX OF 30S)"
"FS105","FOIL STRIP BY 10S (BOX OF 50S)"
"FS106","FOIL STRIP BY 10S (BOX OF 60S)"
"FS10L","FOIL STRIP 10 X 10S (BOX OF 50S)"
"FS10S","FOIL STRIP BY 10S (BOX OF 150S)"
"FS10T","FOIL STRIP 10 X 10S (BOX OF 100S)"
"FS10X","FOIL STRIP BY 10S (BOX OF 100S)"
"FS114","FOIL STRIP BY 10S (BOX OF 14S)"
"FS14X","FOIL STRIP BY 14S"
"FS153","FOIL STRIP BY 15 (BOX OF 30S)"
"FS155","FOIL STRIP 10 B81X 5S (BOX OF 50S)"
"FS156","FOIL STRIP BY 15 (BOX OF 60S)"
"FS15X","FOIL STRIP BY 15S"
"FS250","FOIL STRIP BY 10S (BOX OF 250S)"
"FS25H","FOIL STRIP BY 25S (BOX OF 100S)"
"FS28X","FOIL STRIP BY 28S"
"FS30X","FOIL STRIP BY 30S"
"FS321","FOIL STRIP BY 3 (BOX OF 21S)"
"FS3X3","FOIL STRIP BY 3 (BOX OF 3S)"
"FS412","FOIL STRIP BY 4S (BOX OF 12S)"
"FS414","FOIL STRIP BY 4S (BOX OF 14S)"
"FS420","FOIL STRIP BY 4S (BOX OF 20S)"
"FS421","FOIL STRIP BY 4S (BOX OF 21S)"
"FS424","FOIL STRIP BY 4S (BOX OF 24S)"
"FS428","FOIL STRIP BY 4S (BOX OF 28S)"
"FS430","FOIL STRIP BY 4S (BOX OF 30S)"
"FS450","FOIL STRIP BY 4S (BOX OF 50S)"
"FS460","FOIL STRIP BY 4S (BOX OF 60S)"
"FS480","FOIL STRIP BY 4S (BOX OF 80S)"
"FS4CX","FOIL STRIP BY 4S (BOX OF 100S)"
"FS4HX","FOIL STRIP BY 4S (BOX OF 100S)"
"FS4S4","FOIL STRIP BY 4S (BOX OF 40S)"
"FS4XX","FOLI STRIP BY 4S"
"FS50X","FOIL STRIP BY 50S"
"FS60X","FOIL STRIP BY 60S"
"FS612","FOIL STRIP BY 6S (BOX OF 12S)"
"FS630","FOIL STRIP BY 6S (BOX OF 30S)"
"FS660","FOIL STRIP BY 6S (BOX OF 60S)"
"FS840","FOIL STRIP BY 8S (BOX OF 40S)"
"FS880","FOIL STRIP BY 8S (BOX OF 80S)"
"FS88X","FOIL STRIP BY 8S (BOX OF 8S)"
"FS90X","FOIL STRIP BY 90S"
"FSTRI","FOIL STRIP"
"FSTT1","FOIL STRIP BY 21S"
"FSTTW","FOIL STRIP BY 20S"
"FSTTX","FOIL STRIP BY 20S (BOX OF 100S)"
"FSTXX","FOIL STRIP BY 10S"
"FVIAL","FLINT VIAL"
"FX500","FOIL STRIP BY 10S (BOX OF 500S)"
"GAL01","GALLON"
"GB001","GLASS BOTTLE"
"GC001","GLASS CARTRIDGE"
"GLAMP","GLASS AMPUL"
"GPS01","GLASS PRE-FILLED SYRINGE"
"GVIAL","GLASS VIAL"
"IMP01","IMPLANT"
"INH01","INHALER"
"JAR01","JAR"
"LPS01","LYOPHILIZED POWDER + SYRINGE"
"LPV01","LYOPHILIZED POWDER + VIAL"
"MDI01","METERED DOSE INHALER"
"MV001","MONODOSE VIAL"
"NEB01","NEBULE"
"PB100","PLASTIC BOTTLE BY 100S"
"PFG01","PRE-FILLED GLASS SYRINGE"
"PFS01","PRE-FILLED SYRINGE"
"PFS02","PRE-FILLED SYRINGE (HAS FREE)"
"PFS03","PRE-FILLED SYRINGE (SINGLE DOSE)"
"PLASB","PLASTIC BOTTLE"
"PLB01","POUCHED LDPE BAG"
"PLT01","PLASTIC TUBE"
"POUC1","POUCH"
"PR100","PROPYLENE BAG X 100 ML"
"PRM01","PRE-MIXED"
"PSN01","PRE-FILLED SYRINGE WITH NEEDLE"
"PVC10","PVC BLISTER PACK BY 10S (BOX OF 100S)"
"PVC50","PVC/AL BLISTER PACK BY 10S (BOX OF 50S)"
"PVCAL","PVC/ALU BLISTER"
"ROTAP","ROTAPLAST"
"SAC01","SACHET"
"SDS01","SINGLE DOSE WITH SYRINGE"
"SOA01","SOAP"
"SPT10","STRIP PACK BY 10S (BOX OF 100S)"
"SPT20","STRIP PACK BY 10S (BOX OF 20S)"
"SPT30","STRIP PACK BY 10S (BOX OF 30S)"
"SPT50","STRIP PACK BY 10S (BOX OF 50S)"
"SPT80","STRIP PACK BY 10S (BOX OF 80S)"
"TUB01","TUBE"
"USP02","USP"
"VA001","VIAL + AMPULE"
"VIALX","VIAL"
"VPS01","VIAL + PRE-FILLED SYRINGE DILUENT"
"VPS02","VIAL + PRE-FILLED SYRINGE"
"VS001","VIAL + SYRINGE"
"XXXX","XXXX"
