"fhudname","phic_name","fhudcode","regcode","provcode","provname","citycode","cityname","facility_type_desc","pan"
"CLAVERIA RURAL HEALTH UNIT","RURAL HEALTH UNIT OF CLAVERIA","DOH000000000000119","10","1043","MISAMIS ORIENTAL","104306","CLAVERIA","RHU","P10025417"
"NEW BANICAIN HEALTH CENTER",,"DOH000000000000120","03","0371","ZAMBALES","037107","OLONGAPO CITY","RHU",
"TABUK RURAL HEALTH UNIT II","TABUK II RURAL HEALTH UNIT - PCB1","DOH000000000000121","14","1432","KALINGA","143213","TABUK (Capital)","RHU","P13025636"
"SAN MATEO RURAL HEALTH UNIT","RURAL HEALTH UNIT- SAN MATEO, ISABELA","DOH000000000000122","02","0231","ISABELA","023132","SAN MATEO","RHU","P02027206"
"BALASAN RURAL HEALTH UNIT",,"DOH000000000000123","06","0630","ILOILO","063005","BALASAN","RHU",
"MABAYUAN HEALTH CENTER",,"DOH000000000000125","03","0371","ZAMBALES","037107","OLONGAPO CITY","RHU",
"SAN PASCUAL RURAL HEALTH UNIT","SAN PASCUAL RURAL HEALTH UNIT","DOH000000000000126","04","0410","BATANGAS","041026","SAN PASCUAL","RHU","P42026032"
"BRAULIO E. DUJALI MUNICIPAL HEALTH CENTER","RHU - BRAULIO E. DUJALI","DOH000000000000127","11","1123","DAVAO DEL NORTE","112323","BRAULIO E. DUJALI","RHU","P11025465"
"MACABEBE RURAL HEALTH UNIT II","SAN RAFAEL RHU II MACABEBE","DOH000000000000128","03","0354","PAMPANGA","035410","MACABEBE","RHU","P03024444"
"TALITAY RURAL HEALTH UNIT",,"DOH000000000000129","15","1538","MAGUINDANAO","153821","TALITAY","RHU",
"SAN RICARDO RURAL HEALTH UNIT","SAN RICARDO RHU ","DOH000000000000130","08","0864","SOUTHERN LEYTE","086415","SAN RICARDO","RHU","P08025139"
"MAHAPLAG RURAL HEALTH UNIT","MAHAPLAG MHO","DOH000000000000131","08","0837","LEYTE","083731","MAHAPLAG","RHU","P08025088"
"ILAGAN CITY HEALTH OFFICE I",,"DOH000000000000132","02","0231","ISABELA","023114","ILAGAN (Capital)","RHU",
"LIMASAWA RURAL HEALTH UNIT","LIMASAWA RHU & FAMILY PLANNING CENTER","DOH000000000000133","08","0864","SOUTHERN LEYTE","086419","LIMASAWA","RHU","P08025144"
"MARIPIPI MUNICIPAL HEALTH OFFICE",,"DOH000000000000134","08","0878","BILIRAN","087807","MARIPIPI","RHU",
"CONCEPCION RURAL HEALTH UNIT",,"DOH000000000000136","10","1042","MISAMIS OCCIDENTAL","104206","CONCEPCION","RHU",
"RAMON RURAL HEALTH UNIT","RAMON RURAL HEALTH UNIT BIRTHING CENTER","DOH000000000000137","02","0231","ISABELA","023124","RAMON","RHU","P02024260"
"BAGONG SILANGAN HEALTH CENTER",,"DOH000000000000138","13","1374","NCR   SECOND DISTRICT","137404","QUEZON CITY","RHU",
"LIBJO RURAL HEALTH AND FAMILY PLANNING CENTER","LIBJO RURAL HEALTH UNIT AND FAMILY PLANNING CENTER","DOH000000000000139","16","1685","DINAGAT ISLANDS","168504","LIBJO (ALBOR)","RHU","P14025713"
"KALAYAAN HEALTH CENTER",,"DOH000000000000140","13","1374","NCR   SECOND DISTRICT","137404","QUEZON CITY","RHU",
"ALEGRIA RURAL HEALTH UNIT",,"DOH000000000000141","16","1667","SURIGAO DEL NORTE","166701","ALEGRIA","RHU",
"PARACELIS MUNICIPAL HEALTH OFFICE","PARACELIS RURAL HEALTH UNIT - PCB1","DOH000000000000142","14","1444","MOUNTAIN PROVINCE","144406","PARACELIS","RHU","P13025645"
"NEW WASHINGTON RURAL HEALTH UNIT","NEW WASHINGTON MUNICIPAL HEALTH OFFICE ","DOH000000000000144","06","0604","AKLAN","060415","NEW WASHINGTON","RHU","P06024688"
"VETERANS HEALTH CENTER",,"DOH000000000000145","13","1374","NCR   SECOND DISTRICT","137404","QUEZON CITY","RHU",
"LA LIBERTAD RURAL HEALTH UNIT",,"DOH000000000000146","09","0972","ZAMBOANGA DEL NORTE","097204","LA LIBERTAD","RHU",
"VILLAVERDE RURAL HEALTH UNIT","VILLAVERDE RURAL HEALTH UNIT","DOH000000000000147","02","0250","NUEVA VIZCAYA","025014","VILLAVERDE","RHU","P02026791"
"TUGUEGARAO CITY HEALTH OFFICE","TUGUEGARAO CITY URBAN HEALTH CENTER AND BIRTHING HOME","DOH000000000000148","02","0215","CAGAYAN","021529","TUGUEGARAO CITY(Capital)","RHU","P02024242"
"SANTA CRUZ RURAL HEALTH UNIT I",,"DOH000000000000149","04","0434","LAGUNA","043426","SANTA CRUZ (Capital)","RHU",
"MALUSO RURAL HEALTH UNIT",,"DOH000000000000150","15","1507","BASILAN","150704","MALUSO","RHU",
"CITY OF SAN FERNANDO (CAPITAL) RURAL HEALTH UNIT III","SAN FERNANDO RHU III","DOH000000000000151","03","0354","PAMPANGA","035416","CITY OF SAN FERNANDO (Capital)","RHU","P03024432"
"SANTA CRUZ RURAL HEALTH UNIT II","STA. CRUZ RHU II","DOH000000000000152","03","0371","ZAMBALES","037113","SANTA CRUZ","RHU","P03030196"
"SAN JOSE RURAL HEALTH UNIT","SAN JOSE RURAL HEALTH UNIT AND FAMILY PLANNING CLINIC","DOH000000000000153","17","1759","ROMBLON","175914","SAN JOSE","RHU","P42026108"
"SANTA MARIA (IMELDA) RURAL HEALTH UNIT",,"DOH000000000000154","17","1759","ROMBLON","175917","SANTA MARIA (IMELDA)","RHU",
"SOCORRO RURAL HEALTH UNIT","SOCORRO RURAL HEALTH UNIT","DOH000000000000155","17","1752","ORIENTAL MINDORO","175214","SOCORRO","RHU","P42026110"
"TUBO RURAL HEALTH UNIT",,"DOH000000000000156","14","1401","ABRA","140126","TUBO","RHU",
"SAN LUIS RURAL HEALTH UNIT II",,"DOH000000000000157","04","0410","BATANGAS","041024","SAN LUIS","RHU",
"LIAN RURAL HEALTH UNIT","MUNICIPAL HEALTH CENTER  OF LIAN","DOH000000000000158","04","0410","BATANGAS","041013","LIAN","RHU","P42026021"
"BACOOR RURAL HEALTH UNIT I",,"DOH000000000000159","04","0421","CAVITE","042103","BACOOR","RHU",
"PAG-ASA RURAL HEALTH CENTER","PAG-ASA HEALTH CENTER","DOH000000000000160","03","0371","ZAMBALES","037107","OLONGAPO CITY","RHU","P03028090"
"CARMONA RURAL HEALTH UNIT",,"DOH000000000000161","04","0421","CAVITE","042104","CARMONA","RHU",
"SANTOL MUNICIPAL HEALTH OFFICE","SANTOL MUNICIPAL HEALTH OFFICE ","DOH000000000000162","01","0133","LA UNION","013318","SANTOL","RHU","P01024134"
"DASMARINAS CITY HEALTH OFFICE II",,"DOH000000000000163","04","0421","CAVITE","042106","DASMARIÃƒâ€šÃ‚ÂAS","CHO",
"WEST BAJAC-BAJAC RURAL HEALTH UNIT","WEST BAJAC BAJAC HEALTH CENTER","DOH000000000000164","03","0371","ZAMBALES","037107","OLONGAPO CITY","RHU","P03024503"
"JASAAN RURAL HEALTH UNIT","JASAAN RURAL HEALTH UNIT","DOH000000000000165","10","1043","MISAMIS ORIENTAL","104311","JASAAN","RHU","P10025413"
"IVISAN RURAL HEALTH UNIT","IVISAN RURAL HEALTH UNIT ","DOH000000000000166","06","0619","CAPIZ","061905","IVISAN","RHU","P06024729"
"SAN VICENTE RURAL HEALTH UNIT","SAN VICENTE RURAL HEALTH UNIT","DOH000000000000167","17","1753","PALAWAN","175319","SAN VICENTE","RHU","P42026109"
"CATEEL RURAL HEALTH UNIT",,"DOH000000000000168","11","1125","DAVAO ORIENTAL","112505","CATEEL","RHU",
"SAN MIGUEL MUNICIPAL HEALTH OFFICE AND REPRODUCTIVE HEALTH CENTER","MUNICIPAL HEALTH OFFICE & REPRODUCTIVE HEALTH CENTER","DOH000000000000169","16","1668","SURIGAO DEL SUR","166816","SAN MIGUEL","RHU","P14025760"
"SAN MATEO RURAL HEALTH UNIT I",,"DOH000000000000170","04","0458","RIZAL","045811","SAN MATEO","RHU",
"LUGAIT MUNICIPAL HEALTH OFFICE","LUGAIT MUNICIPAL HEALTH OFFICE","DOH000000000000171","10","1043","MISAMIS ORIENTAL","104316","LUGAIT","RHU","P10025408"
"BADOC MUNICIPAL HEALTH OFFICE",,"DOH000000000000172","01","0128","ILOCOS NORTE","012803","BADOC","RHU",
"SAN NICOLAS MUNICIPAL HEALTH OFFICE","SAN NICOLAS RHU","DOH000000000000173","01","0128","ILOCOS NORTE","012820","SAN NICOLAS","RHU","P01024199"
"BESAO MUNICIPAL HEALTH OFFICE","BESAO RURAL HEALTH UNIT - PCB1","DOH000000000000174","14","1444","MOUNTAIN PROVINCE","144403","BESAO","RHU","P13025642"
"BORONGAN CITY HEALTH OFFICE I",,"DOH000000000000175","08","0826","EASTERN SAMAR","082604","BORONGAN (Capital)","CHO","P08025055"
"PAMPLONA RURAL HEALTH UNIT",,"DOH000000000000176","02","0215","CAGAYAN","021518","PAMPLONA","RHU",
"SANTOLAN SUPER HEALTH CENTER","CITY GOVERNMENT OF PASIG - SANTOLAN SUPER HEALTH CENTER","DOH000000000000177","13","1374","NCR   SECOND DISTRICT","137403","CITY OF PASIG","RHU","P92026362"
"DELA PAZ HEALTH CENTER","CITY GOVERNMENT OF PASIG - DELA PAZ HEALTH CENTER","DOH000000000000178","13","1374","NCR   SECOND DISTRICT","137403","CITY OF PASIG","RHU","P92026388"
"PANTUKAN MUNICIPAL HEALTH OFFICE",,"DOH000000000000179","11","1182","COMPOSTELA VALLEY","118211","PANTUKAN","RHU","P11026910"
"NABUNTURAN RURAL HEALTH UNIT","RHU NABUNTURAN","DOH000000000000180","11","1182","COMPOSTELA VALLEY","118209","NABUNTURAN (Capital)","RHU","P11025489"
"SAN LUIS RURAL HEALTH UNIT II",,"DOH000000000000181","03","0354","PAMPANGA","035417","SAN LUIS","RHU",
"VINTAR MUNICIPAL HEALTH OFFICE",,"DOH000000000000182","01","0128","ILOCOS NORTE","012823","VINTAR","RHU",
"TANAY RURAL HEALTH UNIT I",,"DOH000000000000183","04","0458","RIZAL","045812","TANAY","RHU",
"LUBAO RURAL HEALTH UNIT I",,"DOH000000000000184","03","0354","PAMPANGA","035408","LUBAO","RHU",
"JOSE ABAD SANTOS RURAL HEALTH UNIT","RURAL HEALTH UNIT, JOSE ABAD SANTOS","DOH000000000000185","11","1186","DAVAO OCCIDENTAL","118602",,"RHU","P11025476"
"RODRIGUEZ RURAL HEALTH UNIT I",,"DOH000000000000187","04","0458","RIZAL","045808","RODRIGUEZ (MONTALBAN)","RHU","P93028179"
"BALETE RURAL HEALTH UNIT",,"DOH000000000000188","04","0410","BATANGAS","041004","BALETE","RHU","P42026102"
"TARLAC CITY HEALTH CENTER X",,"DOH000000000000189","03","0369","TARLAC","036916","CITY OF TARLAC (Capital)","RHU",
"SIGMA RURAL HEALTH UNIT","SIGMA RHU","DOH000000000000190","06","0619","CAPIZ","061916","SIGMA","RHU","P06024721"
"MAGALANG RURAL HEALTH UNIT I","MAGALANG RURAL HEALTH UNIT I","DOH000000000000191","03","0354","PAMPANGA","035411","MAGALANG","RHU","P03024445"
"PLARIDEL RURAL HEALTH UNIT II",,"DOH000000000000192","03","0314","BULACAN","031417","PLARIDEL","RHU",
"BURGOS RURAL HEALTH UNIT",,"DOH000000000000193","01","0133","LA UNION","013308","BURGOS","RHU",
"BALIBAGO RURAL HEALTH UNIT",,"DOH000000000000194","03","0354","PAMPANGA","035401","ANGELES CITY","RHU",
