"caserate_code","caserate_desc","casetype","firstrate","firstpf","firsthosp","caseratecode"
"16035","Escharotomy","P","30740","13440","17300","CR2994"
"16040","Excision burn wound, w/o skin grafting, employing alloplastic dressing (e.g., synthetic mesh), any anatomic site","P","9700","4200","5500","CR1093"
"17000","Destruction by any method, including laser, w/ or w/o surgical curettement, all benign facial lesions or premalignant lesions in any location, or benign lesions other than cutaneous vascular proliferative lesions, including local anesthesia; any number of","P","8020","2520","5500","CR0708"
"17100","Destruction by any method, including laser, of benign skin lesions other than cutaneous vascular proliferative lesions on any area other than the face, including local anesthesia; any number of lesions","P","8020","2520","5500","CR0709"
"17106","Destruction of cutaneous vascular proliferative lesions (e.g., laser technique)","P","18000","8400","9600","CR1983"
"17110","Destruction by any method of flat warts or molluscum contagiosum, milia, all lesions","P","5680","1680","4000","CR0508"
"17200","Electosurgical destruction of multiple fibrocutaneous tags; all lesions","P","8020","2520","5500","CR0710"
"17250","Chemical cauterization of granulation tissue (proud flesh, sinus or fistula)","P","5680","1680","4000","CR0509"
"17260","Destruction, malignant lesion, any method, trunk, arms or legs; lesion diameter 0.5 cm or less","P","5680","1680","4000","CR0510"
"17261","Destruction, malignant lesion, any method, trunk, arms or legs; lesion diameter 0.6 to 1.0 cm","P","5680","1680","4000","CR0511"
"17262","Destruction, malignant lesion, any method, trunk, arms or legs; lesion diameter 1.1 to 2.0 cm","P","5680","1680","4000","CR0512"
"17263","Destruction, malignant lesion, any method, trunk, arms or legs; lesion diameter 2.1 to 3.0 cm","P","5680","1680","4000","CR0513"
"17264","Destruction, malignant lesion, any method, trunk, arms or legs; lesion diameter 3.1 to 4.0 cm","P","5680","1680","4000","CR0514"
"17266","Destruction, malignant lesion, any method, trunk, arms or legs; lesion diameter over 4.0 cm","P","5680","1680","4000","CR0515"
"17270","Destruction, malignant lesion, any method, scalp, neck, hands, feet, genitalia; lesion diameter 0.5 cm or less","P","5680","1680","4000","CR0516"
"17271","Destruction, malignant lesion, any method, scalp, neck, hands, feet, genitalia; lesion diameter 0.6 to 1.0 cm","P","5680","1680","4000","CR0517"
"17272","Destruction, malignant lesion, any method, scalp, neck, hands, feet, genitalia; lesion diameter 1.1 to 2.0 cm","P","5680","1680","4000","CR0518"
"17273","Destruction, malignant lesion, any method, scalp, neck, hands, feet, genitalia; lesion diameter 2.1 to 3.0 cm","P","5680","1680","4000","CR0519"
"17274","Destruction, malignant lesion, any method, scalp, neck, hands, feet, genitalia; lesion diameter 3.1 to 4.0 cm","P","5680","1680","4000","CR0520"
"17276","Destruction, malignant lesion, any method, scalp, neck, hands, feet, genitalia; lesion diameter over 4.0 cm","P","5680","1680","4000","CR0521"
"17280","Destruction, malignant lesion, any method, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.5 cm or less","P","9300","2100","7200","CR0613"
"17281","Destruction, malignant lesion, any method, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 0.6 to 1.0 cm","P","9300","2100","7200","CR0614"
"17282","Destruction, malignant lesion, any method, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 1.1 to 2.0 cm","P","9300","2100","7200","CR0615"
"17283","Destruction, malignant lesion, any method, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 2.1 to 3.0 cm","P","9300","2100","7200","CR0616"
"17284","Destruction, malignant lesion, any method, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter 3.1 to 4.0 cm","P","9300","2100","7200","CR0617"
"17286","Destruction, malignant lesion, any method, face, ears, eyelids, nose, lips, mucous membrane; lesion diameter over 4.0 cm","P","9300","2100","7200","CR0618"
"17304","Chemosurgery (Mohs micrographic technique), including removal of all gross tumor, surgical excision of tissue specimens, mapping, color coding of specimens, microscopic examination of specimens by the surgeon, and complete histopathologic preparation;  st","P","8020","2520","5500","CR0711"
"19000","Puncture aspiration of cyst of breast;","P","3640","840","2800","CR0374"
"19020","Mastotomy w/ exploration or drainage of abscess, deep","P","9700","4200","5500","CR1094"
"19100","Biopsy of breast; needle core","P","3640","840","2800","CR0375"
"19101","Biopsy of breast; incisional","P","5560","1260","4300","CR0424"
"19110","Nipple exploration, w/ or w/o excision of a solitary lactiferous duct or a papilloma lactiferous duct","P","8440","2940","5500","CR0860"
"19112","Excision of lactiferous duct fistula","P","8260","3360","4900","CR0904"
"19120","Excision of cyst, fibroadenoma, or other benign or malignant tumor aberrant breast tissue, duct lesion or nipple lesion (except 19140), male or female, one or more lesions","P","8020","2520","5500","CR0712"
"19125","Excision of breast lesion identified by preoperative placement of radiological marker; single lesion","P","8020","2520","5500","CR0713"
"19140","Mastectomy for gynecomastia","P","22000","8800","13200","CR0714"
"19160","Mastectomy, partial;","P","22000","8800","13200","CR1572"
"19162","Mastectomy, partial; with axillary lymphadenectomy","P","22000","8800","13200","CR2363"
"19180","Mastectomy, simple, complete","P","22000","8800","13200","CR1911"
"19182","Mastectomy, subcutaneous","P","22000","8800","13200","CR1340"
"19200","Mastectomy, radical, icnluding pectoral muscles, axillary lymph nodes","P","22000","8800","13200","CR3230"
"19220","Mastectomy, radical, including pectoral muscles, axillary and internal mammary lymph nodes (Urban type operation)","P","22000","8800","13200","CR3231"
"19240","Mastectomy, modified radical, including axillary lymph nodes, w/ or w/o pectoralis minor muscle, but excluding pectoralis major muscle","P","22000","8800","13200","CR3232"
